battery_id,iteration,a,d1,d2,R100,R200,A,quadratic_eol
1,0,1.0060679674216297,1.0407667712267153e-09,0.0015301579777996619,0.003060316996366095,0.006120632951965419,0.0030603159555993237,1160.4784913239473
1,1,1.0065760014275607,0.0013159959834685199,0.0009837020228892952,0.0032834000292471105,0.0052508040750257005,0.0019674040457785904,1383.7856648055895
1,2,1.0061423319000886,4.487886388384528e-09,0.0014957531387629257,0.00299151076541224,0.005983017042938091,0.0029915062775258514,1173.960745406559
1,3,1.0068183259113264,0.002413846577722259,0.0003158069294553654,0.0030454604366329896,0.0036770742955437204,0.0006316138589107308,2205.2869337775837
1,4,1.0059091582168749,8.328674792643297e-22,0.0013684791235408873,0.0027369582470817746,0.005473916494163549,0.0027369582470817746,1226.644577418911
1,5,1.0059682760296003,3.129250947737655e-11,0.0013875783171136634,0.0027751566655198363,0.005550313299747163,0.002775156634227327,1218.3481668485792
1,6,1.0065261971862722,0.0006687965027093257,0.0012944775431289533,0.0032577515889672323,0.005846706675225139,0.0025889550862579066,1237.5389525805917
1,7,1.0062422918144145,8.421580781779034e-05,0.001589301406466259,0.0032628186207503086,0.006441421433682827,0.003178602812932518,1136.5162499776404
1,8,1.00627619427669,1.6134690247707933e-14,0.0016353238581588115,0.0032706477163337577,0.006541295432651381,0.003270647716317623,1123.1109685978624
1,9,1.0061515397459184,0.0005063303703977896,0.0011372796673391834,0.0027808897050761562,0.0050554490397545235,0.002274559334678367,1324.2786297553298
1,10,1.0054094423604427,0.00020569743422990336,0.0011487077750683174,0.002503112984366538,0.004800528534503173,0.0022974155501366347,1328.3044224821426
1,11,1.005858337452873,1.2955443456172947e-08,0.0014223285334354161,0.0028446700223142885,0.00568932708918512,0.0028446570668708322,1203.0511839229346
1,12,1.0065622278056734,0.0021315569322758335,0.00033996431001855185,0.0028114855523129374,0.003491414172350041,0.0006799286200371037,2171.312269230533
1,13,1.0061306999343411,5.35691982231598e-11,0.0015677841765598716,0.0031355684066889412,0.006271136759808685,0.003135568353119743,1146.64293604074
1,14,1.0062451871358116,2.1084056291644743e-09,0.001630950036208671,0.0032619021808229713,0.006523802253240313,0.003261900072417342,1124.5313260440846
1,15,1.0057531476230301,1.9798352877387388e-10,0.0013218768332957482,0.0026437538645750253,0.005287507531166522,0.0026437536665914964,1247.6068356761957
1,16,1.0059921619960397,9.950536065012365e-15,0.001445598975752541,0.0028911979515150324,0.0057823959030201145,0.002891197951505082,1193.7171461365087
1,17,1.0062532148257173,3.1623909494048824e-05,0.0015987989269980098,0.0032292217634900685,0.006426819617486089,0.0031975978539960197,1134.8155596963106
1,18,1.0062832141161846,5.768916487062914e-10,0.0016684182489575313,0.0033368370748067112,0.006673673572721774,0.0033368364979150626,1111.9351836134333
1,19,1.006359229893141,0.0007585577795304201,0.0011057214030943726,0.0029700005857191654,0.005181443391907911,0.002211442806188745,1332.2498373646217
1,20,1.0058614766382497,3.2311742677852644e-26,0.001351596205073246,0.002703192410146492,0.005406384820292984,0.002703192410146492,1234.1389525299496
1,21,1.0059139323333297,8.258121474334049e-19,0.0014195228320185785,0.002839045664037158,0.005678091328074315,0.002839045664037157,1204.4025742195886
1,22,1.0062028261760754,0.0006242627537856189,0.0012002499541863053,0.0030247626621582296,0.00542526257053084,0.0024004999083726106,1284.9770474234422
1,23,1.0065573945031858,0.0008384435260397327,0.0012240856870603402,0.0032866149001604134,0.005734786274281094,0.0024481713741206805,1265.2195251387977
1,24,1.0057527437993834,4.555526472678435e-19,0.0013696944489485269,0.002739388897897054,0.005478777795794108,0.0027393888978970537,1225.63447910688
1,25,1.005944229750672,2.42986551853886e-15,0.0016093794275704987,0.0032187588551434274,0.006437517710284424,0.0032187588551409975,1131.2161358253995
1,26,1.006387757416513,0.0006389459291227573,0.0013352644635031882,0.0033094748561291335,0.00598000378313551,0.0026705289270063763,1219.5539587191724
1,27,1.0055159486341783,3.837067465039581e-06,0.0012306894971419247,0.002465216061748889,0.004926595056032738,0.0024613789942838494,1292.1000011395336
1,28,1.0066708256304637,0.001737058588725429,0.00063936797557052,0.003015794539866469,0.004294530491007509,0.00127873595114104,1667.1769508932152
1,29,1.0061128931921433,2.9872229571417613e-09,0.0016267079322236045,0.0032534188516701664,0.006506834716117375,0.003253415864447209,1125.6354243564715
1,30,1.0059460833206093,6.621942695004978e-20,0.0016738130428241617,0.0033476260856483233,0.006695252171296647,0.0033476260856483233,1109.2343106610858
1,31,1.0058619467986396,5.6854921821778336e-09,0.0014984814733019739,0.00299696863209613,0.0059939315787000775,0.0029969629466039477,1172.093556729753
1,32,1.0059779311621058,2.891134582528942e-14,0.0013650640909610384,0.002730128181950988,0.0054602563638730655,0.002730128181922077,1228.3830770585248
1,33,1.0057233535020915,9.206118406460844e-16,0.0014830465675769215,0.0029660931351547636,0.005932186270308606,0.002966093135153843,1177.7806191255152
1,34,1.0060830074813574,0.0002396558354510341,0.0014072491674304386,0.003054154170311911,0.005868652505172788,0.0028144983348608772,1201.6548421134876
1,35,1.0056169750092971,7.573064690121713e-27,0.0013175968909718155,0.002635193781943631,0.005270387563887262,0.002635193781943631,1249.2179101224397
1,36,1.0061361901072514,0.00025080316654190144,0.001394328641782001,0.0030394604501059034,0.005828117733669906,0.002788657283564002,1206.9303049029274
1,37,1.0059009415596665,0.0009770686553490443,0.0007538408009948908,0.002484750257338826,0.003992431859328608,0.0015076816019897817,1589.1462738237738
1,38,1.0058900268918645,3.935722374290585e-10,0.0015245532771260347,0.0030491069478243067,0.006098213502076376,0.0030491065542520694,1162.1076160747848
1,39,1.0060632465849764,0.0005814319095606315,0.0010981930730378905,0.0027778180556364126,0.004974204201712193,0.002196386146075781,1343.5954118022375
1,40,1.0062534880613023,0.0008585578340220338,0.0011497548169983375,0.0031580674680187085,0.005457577102015384,0.002299509633996675,1302.5459230163358
1,41,1.0060240169366006,7.377621254655224e-05,0.001545813516249244,0.00316540324504504,0.006257030277543528,0.003091627032498488,1152.0800909346224
1,42,1.0061457211417022,0.0005461018990444264,0.0012765231867657505,0.0030991482725759275,0.005652194646107429,0.002553046373531501,1249.5769351857655
1,43,1.0062735179427573,0.0010777684601087896,0.0009969173308171388,0.003071603121743067,0.005065437783377345,0.0019938346616342776,1385.4016188460555
1,44,1.006438060458654,0.0007362452606034948,0.001238103096940693,0.003212451454484881,0.005688657648366267,0.002476206193881386,1261.8777480998112
1,45,1.005973776649496,0.00019425244113161416,0.0013273266104503684,0.002848905662032351,0.005503558882933088,0.002654653220900737,1238.4143884086075
1,46,1.0060946794522723,0.0005697436676669979,0.0012210613669221763,0.0030118664015113504,0.0054539891353557034,0.0024421227338443526,1276.0455979301366
1,47,1.006060657406213,1.6463512372775029e-09,0.0014524172150512681,0.0029048360764537735,0.00580967050655631,0.0029048344301025363,1191.109876995585
1,48,1.0057664504798893,2.204792153853131e-09,0.0013451688666819232,0.0026903399381560003,0.005380677671519846,0.0026903377333638463,1236.7982173199173
1,49,1.0063094767531935,0.0006224459725379899,0.0012415163284052637,0.0031054786293485174,0.005588511286159045,0.0024830326568105274,1264.2661326569596
1,50,1.0060118569437047,1.071537673023216e-16,0.0015054424242413238,0.0030108848484827547,0.006021769696965403,0.0030108848484826476,1169.8065078932427
1,51,1.0058828341306942,1.5754148561110146e-07,0.0014006004663634389,0.0028013584742124886,0.005602559406939367,0.0028012009327268777,1212.4139400064237
1,52,1.0060826551638649,7.828801752682251e-13,0.001577458723251942,0.003154917447286764,0.006309834893790648,0.003154917446503884,1142.9881255218504
