recommendation_type,bootstrap_samples,median_normalized_parameter_distance_from_main,within_radius_0_20_fraction,stability_grade,C1_median,C1_ci95_low,C1_ci95_high,Q1_median,Q1_ci95_low,Q1_ci95_high,C2_median,C2_ci95_low,C2_ci95_high,predicted_charge_time_median,predicted_charge_time_ci95_low,predicted_charge_time_ci95_high,predicted_degradation_rate_median,predicted_degradation_rate_ci95_low,predicted_degradation_rate_ci95_high,predicted_EOL_median,predicted_EOL_ci95_low,predicted_EOL_ci95_high
fast_charge,300,0.0,0.9733333333333334,stable,5.0,5.0,5.104999999999995,28.0,28.0,43.74999999999932,4.9,4.7162500000000005,4.9,9.945921981326842,9.700392099191466,10.281053726890036,0.004171855280269413,0.0032050873517332624,0.005007057409440781,1352.763970424153,1257.641531872736,1432.2822104446366
knee,300,0.0,0.9166666666666666,stable,4.85,4.8,5.057499999999994,55.0,54.0,71.0,4.85,4.645,4.9,10.123737993752506,9.772834762123615,10.45433970546376,0.00268153342524452,0.0023439185708884324,0.0032623297290640865,1467.196657370313,1362.9113035884336,1570.9551756515618
longevity,300,0.0,0.9733333333333334,stable,4.75,4.75,4.986249999999989,60.0,58.95,60.0,4.8,4.66875,4.8,10.297522410972382,9.867402303273098,10.632654156535576,0.0017172719647857845,0.0012620551238567816,0.0032087345946516257,1602.0119425649823,1392.3052362282997,1770.5503327948845
