C1,Q1,C2,phase1_ideal_minutes,phase2_ideal_minutes,T_ideal_physical,T_ideal_as_written_minus,nearest_observed_distance_normalized,nearest_observed_index,inside_rectangle,inside_convex_hull,inside_trust_region,inside_main_domain,predicted_charge_time,predicted_charge_time_se,predicted_SOH200,predicted_SOH200_se,predicted_slope50_200,predicted_slope50_200_se,predicted_degradation_rate,predicted_degradation_rate_se,predicted_EOL,predicted_EOL_se,stress_p,soc_weighted_stress,pareto_rank,normalized_time,normalized_degradation,distance_to_ideal,recommendation_type,model_scope
5.0,28.0,4.9,3.3600000000000003,6.36734693877551,9.727346938775511,-3.00734693877551,0.3826513837107855,2,True,True,True,True,9.951054485738824,0.432879390839616,0.992654561575768,0.0007752043084343949,-0.004380650083250688,0.0004140623847549967,0.004380650083250688,0.0004140623847549967,1339.5473487413228,45.54503197544689,2.0,24.356500000000004,39,0.14278411684162634,0.5339110496659824,0.5526737853179525,fast_charge,dataset3_only
4.85,55.0,4.85,6.804123711340207,3.0927835051546393,9.896907216494846,3.7113402061855676,0.41152234714075303,5,True,True,True,True,10.120614763458159,0.432879390839616,0.995652324911792,0.0005279141199242749,-0.0026707193746947624,0.0002904445381886143,0.0026707193746947624,0.0002904445381886143,1472.1569187839043,57.58969633072123,2.0,23.522499999999994,120,0.3235400678502031,0.29050432293945083,0.4348228802064385,knee,dataset3_only
4.75,60.0,4.8,7.578947368421052,2.5,10.078947368421051,5.078947368421052,0.32892325121282556,5,True,True,True,True,10.302654915384364,0.432879390839616,0.997437362426892,0.00044278411567815563,-0.0016218503495496574,0.00025098304369655953,0.0016218503495496574,0.00025098304369655953,1619.107921481972,90.12911937286884,2.0,22.681874999999998,237,0.5175999103189269,0.14119898857825552,0.5365135800123643,longevity,dataset3_only
5.0,28.0,4.9,3.3600000000000003,6.36734693877551,9.727346938775511,-3.00734693877551,0.3826513837107855,2,True,True,True,True,9.95753382670633,0.3770638937490375,0.9919427904708104,0.002296910360877542,-0.004822979782086842,0.0013692595254608609,0.004822979782086842,0.0013692595254608609,1248.6925749627876,124.10951154052084,2.0,24.356500000000004,39,0.14278411684162634,0.7487588719911199,0.7622513708794871,fast_charge,all_parameterized
4.8,53.0,4.8,6.625,3.375000000000001,10.0,3.249999999999999,0.4426229508196722,5,True,True,True,True,10.230186887930818,0.3770638937490375,0.9930067419075357,0.0018299962864799012,-0.004375377388623286,0.0011402422008316205,0.004375377388623286,0.0011402422008316205,1269.2281013942816,115.79784544605768,2.0,23.04,183,0.4334398296059639,0.42524876732084604,0.6072121540258776,knee,all_parameterized
4.75,60.0,4.8,7.578947368421052,2.5,10.078947368421051,5.078947368421052,0.32892325121282556,5,True,True,True,True,10.30913425635187,0.3770638937490375,0.9932710323490754,0.0017519324140416934,-0.004260972684746445,0.0011048125477754306,0.004260972684746445,0.0011048125477754306,1274.872540299995,115.72463571685506,2.0,22.681874999999998,237,0.5175999103189269,0.3425613682665738,0.6206915161260289,longevity,all_parameterized
