C1,Q1,C2,phase1_ideal_minutes,phase2_ideal_minutes,T_ideal_physical,T_ideal_as_written_minus,nearest_observed_distance_normalized,nearest_observed_index,inside_rectangle,inside_convex_hull,inside_trust_region,inside_main_domain,predicted_charge_time,predicted_charge_time_se,predicted_SOH200,predicted_SOH200_se,predicted_slope50_200,predicted_slope50_200_se,predicted_degradation_rate,predicted_degradation_rate_se,predicted_EOL,predicted_EOL_se,stress_p,soc_weighted_stress,pareto_rank,domain,normalized_time,normalized_degradation,distance_to_ideal,recommendation_type,n_feasible_points,n_pareto_points
5.2,69.0,5.25,7.961538461538461,1.2571428571428571,9.218681318681318,6.704395604395604,0.36460067574024557,5,True,False,True,False,9.44238886564463,0.432879390839616,0.958458097687777,0.011738489876080884,-0.022467392811349813,0.005686005660563396,0.022467392811349813,0.005686005660563396,980.6558399029095,89.2744031560177,2.0,27.111843750000002,820,rectangle,0.20692951834982487,0.016876575448248127,0.20761658017449117,fast_charge,94302,3044
5.45,79.0,5.5,8.697247706422019,0.10909090909090909,8.806338615512928,8.58815679733111,0.5030296492887127,5,True,False,False,False,9.030046162476241,0.432879390839616,0.7872601688301646,0.10805062555463776,-0.10492829924270732,0.04773092694550972,0.10492829924270732,0.04773092694550972,730.8598814011674,119.59061114336922,2.0,29.70934375,430,rectangle,0.11982471767914003,0.0788393478598884,0.14343502270316724,knee,94302,3044
4.4,62.0,4.35,8.454545454545455,2.4827586206896552,10.93730407523511,5.9717868338558,0.3746666968401251,0,True,False,True,False,11.161011622198423,0.432879390839616,0.999701723279072,0.00013673334056030093,-0.00021312940923431118,8.750385875755574e-05,0.00021312940923431118,8.750385875755574e-05,2384.538818555368,352.1631808152136,2.0,19.261562500000004,2129,rectangle,0.5699777582906377,0.00015427735512882806,0.5699777791699628,longevity,94302,3044
4.9,40.0,4.95,4.897959183673469,4.848484848484849,9.746444032158317,0.04947433518861999,0.507020712080882,3,True,True,False,False,9.97015157912163,0.432879390839616,0.9931033208914606,0.0007223942898352474,-0.004127675242993877,0.00038722961578367644,0.004127675242993877,0.00038722961578367644,1354.8335726402554,45.71984209100331,2.0,24.25625,71,convex_hull,0.24327435733617678,0.3846206627939836,0.45509940363113316,fast_charge,6340,499
4.9,60.0,4.85,7.346938775510203,2.4742268041237114,9.821165579633915,4.872711971386492,0.3331074725834121,5,True,True,True,True,10.044873126597228,0.432879390839616,0.9945284901896161,0.000593524899601277,-0.003317758580354382,0.00032233339443594957,0.003317758580354382,0.00032233339443594957,1412.4772839047312,49.36256514159861,2.0,23.888125000000002,115,convex_hull,0.3206521093141469,0.29609532231698354,0.43645184740771803,knee,6340,499
4.75,61.0,4.7,7.705263157894737,2.425531914893617,10.130795072788354,5.27973124300112,0.31698507032770695,5,True,True,True,True,10.354502619751667,0.432879390839616,0.9977846606707916,0.0004205749074710272,-0.0014136186325274512,0.0002403610657267202,0.0014136186325274512,0.0002403610657267202,1662.1109125443973,101.65941075941129,2.0,22.450281250000003,339,convex_hull,0.6412883238437389,0.08796941878526843,0.6472938536242485,longevity,6340,499
5.15,76.0,5.1,8.854368932038835,0.47058823529411764,9.324957167332952,8.383780696744717,0.2513248601004079,5,True,False,True,False,9.548664714296265,0.432879390839616,0.9717809802711593,0.006544170568917789,-0.015598531206628111,0.0032398518612185294,0.015598531206628111,0.0032398518612185294,1051.3467393421336,78.54944958245643,2.0,26.496875000000003,516,trust_region,0.21977917380544448,0.05572240894941012,0.22673304147770143,fast_charge,41926,2113
5.3,20.0,5.25,2.2641509433962264,6.857142857142857,9.121293800539084,-4.59299191374663,0.3771412254896063,2,True,False,True,False,9.345001347502397,0.432879390839616,0.9400799260173366,0.019893347628391827,-0.03174409527627253,0.009439027351905107,0.03174409527627253,0.009439027351905107,918.0826092231317,98.19780464610919,2.0,27.694375,338,trust_region,0.1603773584905661,0.11351298923182963,0.19648433993770859,knee,41926,2113
4.55,62.0,4.6,8.175824175824177,2.3478260869565215,10.523650262780698,5.8279980888676555,0.33980394225923244,5,True,False,True,False,10.747357809744011,0.432879390839616,0.9992125140498891,0.00025535222523276904,-0.0005326950893516045,0.00015470497703614071,0.0005326950893516045,0.00015470497703614071,2002.2292640411624,209.16794237565955,2.0,20.805437499999996,1415,trust_region,0.5693979933110371,0.0017965499393682118,0.5694008275181206,longevity,41926,2113
5.0,28.0,4.9,3.3600000000000003,6.36734693877551,9.727346938775511,-3.00734693877551,0.3826513837107855,2,True,True,True,True,9.951054485738824,0.432879390839616,0.992654561575768,0.0007752043084343949,-0.004380650083250688,0.0004140623847549967,0.004380650083250688,0.0004140623847549967,1339.5473487413228,45.54503197544689,2.0,24.356500000000004,39,convex_hull_and_trust,0.14278411684162634,0.5339110496659824,0.5526737853179525,fast_charge,4413,413
