scheme,valid_fraction,median_absolute_difference,median_relative_difference,p90_relative_difference,worst_relative_difference,selection_score,selected
group_constrained_quadratic,1.0,34.88769455867316,0.02815970374011062,0.08168459924597142,0.2517892669516036,0.06900200336309634,True
quadratic_predicted_200,1.0,34.339341851613085,0.028207911395625444,0.09340729338804828,0.24992008803614893,0.07491155808964958,False
quadratic_150,1.0,75.18492821007521,0.050723308169798746,0.19918210371561682,0.3110454969001661,0.15031436002760715,False
