battery_id,strategy,strategy_code,model,MAE,RMSE,MaxAE,cycle200_error,cycle200_abs_error,actual_future_slope_per100,predicted_future_slope_per100,trend_sign_match
1,3_6C-80PER_3_6C,S1,adaptive_ensemble,0.0018587937205798788,0.002912164474890743,0.009032882638671857,0.003256553445046606,0.003256553445046606,-0.00715252124999996,-0.0031107560831689085,True
1,3_6C-80PER_3_6C,S1,individual_quadratic,0.0020415711764023613,0.0030750144325494993,0.009287980437137078,0.003523679339286989,0.003523679339286989,-0.00715252124999996,-0.002966216125936949,True
1,3_6C-80PER_3_6C,S1,local_linear,0.001820147337333937,0.0028668408636340955,0.00894189303333448,0.003219038366669036,0.003219038366669036,-0.00715252124999996,-0.0030305666666619047,True
1,3_6C-80PER_3_6C,S1,strategy_template,0.005450531952000004,0.0057981827187898564,0.007483622300000103,-0.0036757899999999566,0.0036757899999999566,-0.00715252124999996,-0.0021084533333326494,True
1,3_6C-80PER_3_6C,S1,supervised_ridge,0.0017389269816924769,0.002722403671468999,0.008789311199993488,0.0027302729799063563,0.0027302729799063563,-0.00715252124999996,-0.004022785577793897,True
1,3_6C-80PER_3_6C,S1,template_individual,0.00202372092292622,0.003061458114263232,0.009239887709257655,0.003577814888432229,0.003577814888432229,-0.00715252124999996,-0.0023346818115595846,True
3,3_6C-80PER_3_6C,S1,adaptive_ensemble,0.00021981273228979692,0.0002781973140221962,0.0006205351939442272,-0.0006205351939442272,0.0006205351939442272,-0.0019116710000000037,-0.0030324685663615397,True
3,3_6C-80PER_3_6C,S1,individual_quadratic,0.00013030163063449285,0.00015262451072879099,0.0003040276400867459,-0.000245901118841263,0.000245901118841263,-0.0019116710000000037,-0.002550107446297467,True
3,3_6C-80PER_3_6C,S1,local_linear,9.829664615384814e-05,0.00012116483560613494,0.00029398994615381646,-0.00018839438461548674,0.00018839438461548674,-0.0019116710000000037,-0.0021149207692305882,True
3,3_6C-80PER_3_6C,S1,strategy_template,0.0005270460099999496,0.0006046178095455041,0.0010953415999999105,0.0008690659999999184,0.0008690659999999184,-0.0019116710000000037,-0.0,False
3,3_6C-80PER_3_6C,S1,supervised_ridge,0.0009066538735545504,0.0010664363623944853,0.0019900496594222883,-0.0019900496594222883,0.0019900496594222883,-0.0019116710000000037,-0.00572464922455258,True
3,3_6C-80PER_3_6C,S1,template_individual,0.0017872999636399057,0.0020126155846027652,0.0038334900884322565,-0.0038334900884322565,0.0038334900884322565,-0.0019116710000000037,-0.008298781203113226,True
4,80PER_3_6C,S2,adaptive_ensemble,0.0009159177511917016,0.0012562013402851167,0.004179066270710297,0.0011425849549665523,0.0011425849549665523,-0.021088739999999974,-0.01749769813986409,True
4,80PER_3_6C,S2,individual_quadratic,0.0005103875148355486,0.0008695488401979119,0.0035036629118815332,-0.00038640004938794714,0.00038640004938794714,-0.021088739999999974,-0.020633371957723856,True
