model,n_batteries,MAE_mean,MAE_median,RMSE_mean,RMSE_median,RMSE_p90,worst_battery_RMSE,pointwise_RMSE,cycle200_MAE,trend_match_rate,strategy_median_RMSE_sd
adaptive_ensemble,40,0.0002766053781378206,0.0001640875984906831,0.0003613168770037439,0.0001961484254867386,0.0009012456928234044,0.002912164474890743,0.0006128002380481073,0.0005222409030774172,1.0,0.0005155340368744157
local_linear,40,0.00030111220343609585,0.00021918849090348468,0.0003934862961076182,0.00028495349062578014,0.0006030140182571307,0.0028668408636340955,0.0006100851286689037,0.0006044445288959005,1.0,0.00047058849972738575
individual_quadratic,40,0.0004258190143811262,0.00030050695771394523,0.0005139258875932583,0.00036426320866186966,0.0008687691439488881,0.0030750144325494993,0.0007343047031672046,0.0007443154734913665,1.0,0.0004832938218269147
template_individual,40,0.000519445333697108,0.0001856585843187275,0.0005997017565693217,0.00021937462077460093,0.0015485246570726184,0.0032503042590631124,0.0010403742283953048,0.0007761900598475646,1.0,0.0011471126401949284
supervised_ridge,40,0.0004918761948256714,0.00025457436101390283,0.0006019324710134667,0.00031297095965842367,0.0013178138614456613,0.0034128436233351227,0.000969127674071877,0.0008968826063412288,1.0,0.0006975563726230082
strategy_template,40,0.003204442461207499,0.0009400866064999735,0.0033128402689047154,0.0010541225353740513,0.010759649559902428,0.022278657418966282,0.005777794382845293,0.0038484377614999817,0.8,0.005185846936070498
