battery_id,scope,component,base_weight,similarity_factor,adaptive_weight
1,training_pseudotest,template_individual,0.09988171137027295,0.10797107382897424,0.011839175061394048
1,training_pseudotest,supervised_ridge,0.11235418175545815,0.10797107382897424,0.12334378973433621
1,training_pseudotest,individual_quadratic,0.27973339004155173,0.10797107382897424,0.3070947240580304
1,training_pseudotest,local_linear,0.508030716832717,0.10797107382897424,0.5577223111462393
3,training_pseudotest,template_individual,0.15296805987563938,0.10811122749834182,0.019150241675281093
3,training_pseudotest,supervised_ridge,0.1647813564536393,0.10811122749834182,0.19081423733589278
3,training_pseudotest,individual_quadratic,0.27863551616955834,0.10811122749834182,0.3226555761940559
3,training_pseudotest,local_linear,0.40361506750116294,0.10811122749834182,0.46737994479477024
4,training_pseudotest,template_individual,0.16551461576434767,0.03177105629592458,0.006262116115962951
4,training_pseudotest,supervised_ridge,0.17377186093119934,0.03177105629592458,0.20693433896212693
4,training_pseudotest,individual_quadratic,0.26030164454605437,0.03177105629592458,0.3099773948223927
4,training_pseudotest,local_linear,0.4004118787583986,0.03177105629592458,0.4768261500995175
6,training_pseudotest,template_individual,0.17281591754629705,0.035051230950540246,0.007269693945953379
6,training_pseudotest,supervised_ridge,0.15728558867742354,0.035051230950540246,0.18876350971655545
6,training_pseudotest,individual_quadratic,0.2715363352398316,0.035051230950540246,0.3258795169121494
6,training_pseudotest,local_linear,0.39836215853644774,0.035051230950540246,0.47808727942534174
7,training_pseudotest,template_individual,0.13671197433710594,0.28144589295394545,0.04266856840616054
7,training_pseudotest,supervised_ridge,0.1548074146132032,0.28144589295394545,0.1716715620365507
7,training_pseudotest,individual_quadratic,0.2905540425265868,0.28144589295394545,0.32220592573812923
7,training_pseudotest,local_linear,0.41792656852310406,0.28144589295394545,0.46345394381915955
8,training_pseudotest,template_individual,0.1390461780138509,0.2719675472612349,0.04207534014403441
8,training_pseudotest,supervised_ridge,0.17423440611781127,0.2719675472612349,0.1938587528778003
8,training_pseudotest,individual_quadratic,0.2714885481676281,0.2719675472612349,0.3020668106894692
8,training_pseudotest,local_linear,0.41523086770070977,0.2719675472612349,0.4619990962886962
12,training_pseudotest,template_individual,0.14070503374647045,0.9970548113945141,0.14034879182537402
12,training_pseudotest,supervised_ridge,0.16235205442462497,0.9970548113945141,0.1624193614728838
12,training_pseudotest,individual_quadratic,0.2830794471023788,0.9970548113945141,0.2831968046687781
12,training_pseudotest,local_linear,0.4138634647265257,0.9970548113945141,0.41403504203296404
13,training_pseudotest,template_individual,0.14074939813537712,1.0,0.14074939813537712
13,training_pseudotest,supervised_ridge,0.1621587900374689,1.0,0.1621587900374689
13,training_pseudotest,individual_quadratic,0.2853528498787945,1.0,0.2853528498787945
13,training_pseudotest,local_linear,0.4117389619483595,1.0,0.4117389619483595
15,training_pseudotest,template_individual,0.14113857699978016,1.0,0.14113857699978016
15,training_pseudotest,supervised_ridge,0.16234909515581333,1.0,0.16234909515581333
15,training_pseudotest,individual_quadratic,0.283505509579306,1.0,0.283505509579306
15,training_pseudotest,local_linear,0.41300681826510055,1.0,0.41300681826510055
17,training_pseudotest,template_individual,0.1409180260932544,0.043312525113576014,0.007054574560645433
17,training_pseudotest,supervised_ridge,0.1637236294840513,0.043312525113576014,0.18923529287108942
17,training_pseudotest,individual_quadratic,0.28330733811291764,0.043312525113576014,0.32745271570924445
17,training_pseudotest,local_linear,0.41205100630977654,0.043312525113576014,0.4762574168590207
18,training_pseudotest,template_individual,0.14128532505010866,1.0,0.14128532505010866
18,training_pseudotest,supervised_ridge,0.16312081180019886,1.0,0.16312081180019886
18,training_pseudotest,individual_quadratic,0.28417550997886587,1.0,0.28417550997886587
18,training_pseudotest,local_linear,0.41141835317082665,1.0,0.41141835317082665
19,training_pseudotest,template_individual,0.14129663841028842,1.0,0.1412966384102884
19,training_pseudotest,supervised_ridge,0.16365730817385943,1.0,0.1636573081738594
19,training_pseudotest,individual_quadratic,0.2833581946930999,1.0,0.28335819469309986
19,training_pseudotest,local_linear,0.4116878587227523,1.0,0.4116878587227522
20,training_pseudotest,template_individual,0.14091244445131615,0.04459054753012127,0.007260890003159629
20,training_pseudotest,supervised_ridge,0.16259147379967354,0.04459054753012127,0.1878864545882896
20,training_pseudotest,individual_quadratic,0.2833333427532603,0.04459054753012127,0.3274126003811746
20,training_pseudotest,local_linear,0.41316273899575,0.04459054753012127,0.4774400550273762
21,training_pseudotest,template_individual,0.14054484407862722,1.0,0.14054484407862722
21,training_pseudotest,supervised_ridge,0.1618990699275606,1.0,0.1618990699275606
21,training_pseudotest,individual_quadratic,0.2868244033839443,1.0,0.2868244033839443
21,training_pseudotest,local_linear,0.4107316826098679,1.0,0.4107316826098679
22,training_pseudotest,template_individual,0.14129865015924284,1.0,0.14129865015924284
22,training_pseudotest,supervised_ridge,0.16313327546906756,1.0,0.16313327546906756
22,training_pseudotest,individual_quadratic,0.2835025592201794,1.0,0.2835025592201794
22,training_pseudotest,local_linear,0.4120655151515103,1.0,0.4120655151515103
23,training_pseudotest,template_individual,0.1408212975453065,1.0,0.1408212975453065
23,training_pseudotest,supervised_ridge,0.16213927633825476,1.0,0.16213927633825476
23,training_pseudotest,individual_quadratic,0.2855658080285365,1.0,0.2855658080285365
23,training_pseudotest,local_linear,0.4114736180879022,1.0,0.4114736180879022
26,training_pseudotest,template_individual,0.1414189490975233,1.0,0.1414189490975233
26,training_pseudotest,supervised_ridge,0.1632424603093463,1.0,0.1632424603093463
26,training_pseudotest,individual_quadratic,0.284013374246375,1.0,0.284013374246375
26,training_pseudotest,local_linear,0.41132521634675534,1.0,0.41132521634675534
27,training_pseudotest,template_individual,0.14069834862350428,1.0,0.14069834862350428
27,training_pseudotest,supervised_ridge,0.16204519209564677,1.0,0.16204519209564677
27,training_pseudotest,individual_quadratic,0.2838378861997678,1.0,0.2838378861997678
27,training_pseudotest,local_linear,0.4134185730810811,1.0,0.4134185730810811
28,training_pseudotest,template_individual,0.14082448038992304,1.0,0.14082448038992304
28,training_pseudotest,supervised_ridge,0.16223578155212642,1.0,0.16223578155212642
28,training_pseudotest,individual_quadratic,0.2849515363593901,1.0,0.2849515363593901
28,training_pseudotest,local_linear,0.4119882016985605,1.0,0.4119882016985605
29,training_pseudotest,template_individual,0.14105484259585713,1.0,0.14105484259585716
29,training_pseudotest,supervised_ridge,0.16262141519544535,1.0,0.16262141519544537
29,training_pseudotest,individual_quadratic,0.28347309356611244,1.0,0.2834730935661125
29,training_pseudotest,local_linear,0.412850648642585,1.0,0.4128506486425851
30,training_pseudotest,template_individual,0.14664364183120882,0.17049861091573446,0.028465058375075084
30,training_pseudotest,supervised_ridge,0.16332735577492474,0.17049861091573446,0.18594603712691715
30,training_pseudotest,individual_quadratic,0.28429388436012915,0.17049861091573446,0.32366483205074975
30,training_pseudotest,local_linear,0.40573511803373724,0.17049861091573446,0.461924072447258
31,training_pseudotest,template_individual,0.14069186870530953,1.0,0.14069186870530953
31,training_pseudotest,supervised_ridge,0.1619488824860396,1.0,0.1619488824860396
31,training_pseudotest,individual_quadratic,0.2866188929582657,1.0,0.2866188929582657
31,training_pseudotest,local_linear,0.41074035585038526,1.0,0.41074035585038526
32,training_pseudotest,template_individual,0.14120697198203871,1.0,0.14120697198203871
32,training_pseudotest,supervised_ridge,0.16318010128639757,1.0,0.16318010128639757
32,training_pseudotest,individual_quadratic,0.28456647875050733,1.0,0.28456647875050733
32,training_pseudotest,local_linear,0.4110464479810564,1.0,0.4110464479810564
33,training_pseudotest,template_individual,0.14127499051935927,1.0,0.14127499051935927
33,training_pseudotest,supervised_ridge,0.16290394575409126,1.0,0.16290394575409126
33,training_pseudotest,individual_quadratic,0.28368993635913187,1.0,0.28368993635913187
33,training_pseudotest,local_linear,0.4121311273674176,1.0,0.4121311273674176
34,training_pseudotest,template_individual,0.1414083909967994,1.0,0.1414083909967994
34,training_pseudotest,supervised_ridge,0.16286968064614868,1.0,0.16286968064614868
34,training_pseudotest,individual_quadratic,0.28393335445583756,1.0,0.28393335445583756
34,training_pseudotest,local_linear,0.41178857390121437,1.0,0.41178857390121437
35,training_pseudotest,template_individual,0.140467534876471,0.1333349240887309,0.021325338727856025
35,training_pseudotest,supervised_ridge,0.15994759372957515,0.1333349240887309,0.18211837652006493
35,training_pseudotest,individual_quadratic,0.3102072995295322,0.1333349240887309,0.35320599990086493
35,training_pseudotest,local_linear,0.38937757186442173,0.1333349240887309,0.443350284851214
36,training_pseudotest,template_individual,0.14147870796207204,1.0,0.14147870796207204
36,training_pseudotest,supervised_ridge,0.16297885245324403,1.0,0.16297885245324403
36,training_pseudotest,individual_quadratic,0.2837979346027498,1.0,0.2837979346027498
36,training_pseudotest,local_linear,0.41174450498193416,1.0,0.41174450498193416
37,training_pseudotest,template_individual,0.14068321723755686,1.0,0.14068321723755686
37,training_pseudotest,supervised_ridge,0.16265849615712152,1.0,0.16265849615712152
37,training_pseudotest,individual_quadratic,0.28745995058243573,1.0,0.28745995058243573
37,training_pseudotest,local_linear,0.40919833602288586,1.0,0.40919833602288586
38,training_pseudotest,template_individual,0.13996806322597274,1.0,0.13996806322597274
38,training_pseudotest,supervised_ridge,0.16143919266471987,1.0,0.16143919266471987
38,training_pseudotest,individual_quadratic,0.29105392674129266,1.0,0.29105392674129266
38,training_pseudotest,local_linear,0.40753881736801484,1.0,0.40753881736801484
39,training_pseudotest,template_individual,0.14109377119888775,1.0,0.14109377119888775
39,training_pseudotest,supervised_ridge,0.16256886670940351,1.0,0.16256886670940351
39,training_pseudotest,individual_quadratic,0.2856338516952588,1.0,0.2856338516952588
39,training_pseudotest,local_linear,0.41070351039645,1.0,0.41070351039645
40,training_pseudotest,template_individual,0.1403128373078735,1.0,0.14031283730787353
40,training_pseudotest,supervised_ridge,0.16166668492534775,1.0,0.16166668492534778
40,training_pseudotest,individual_quadratic,0.2889224050698646,1.0,0.28892240506986466
40,training_pseudotest,local_linear,0.409098072696914,1.0,0.4090980726969141
41,training_pseudotest,template_individual,0.13171072116829388,0.0018673991000828754,0.00028318538175604397
41,training_pseudotest,supervised_ridge,0.2197784642578323,0.0018673991000828754,0.25304496043664226
41,training_pseudotest,individual_quadratic,0.2650394820499266,0.0018673991000828754,0.3051568563642002
41,training_pseudotest,local_linear,0.38347133252394705,0.0018673991000828754,0.4415149978174015
42,training_pseudotest,template_individual,0.14135259241277626,1.0,0.14135259241277626
42,training_pseudotest,supervised_ridge,0.16309861808265425,1.0,0.16309861808265425
42,training_pseudotest,individual_quadratic,0.28480091202181074,1.0,0.28480091202181074
42,training_pseudotest,local_linear,0.41074787748275876,1.0,0.41074787748275876
43,training_pseudotest,template_individual,0.14053102331026882,1.0,0.14053102331026882
43,training_pseudotest,supervised_ridge,0.1629523317675526,1.0,0.1629523317675526
43,training_pseudotest,individual_quadratic,0.28772034348903686,1.0,0.28772034348903686
43,training_pseudotest,local_linear,0.40879630143314166,1.0,0.40879630143314166
44,training_pseudotest,template_individual,0.140921212073547,0.9637661584985414,0.13651214216210597
44,training_pseudotest,supervised_ridge,0.16241847239091547,0.9637661584985414,0.1632520564692856
44,training_pseudotest,individual_quadratic,0.2840439325884985,0.9637661584985414,0.2855017378262767
44,training_pseudotest,local_linear,0.412616382947039,0.9637661584985414,0.4147340635423316
45,training_pseudotest,template_individual,0.14058367015600218,1.0,0.14058367015600218
45,training_pseudotest,supervised_ridge,0.1624846849542458,1.0,0.1624846849542458
45,training_pseudotest,individual_quadratic,0.28574884816036655,1.0,0.28574884816036655
45,training_pseudotest,local_linear,0.4111827967293855,1.0,0.4111827967293855
46,training_pseudotest,template_individual,0.14129914740688793,0.02621711630875843,0.00429549324917391
46,training_pseudotest,supervised_ridge,0.16289181788313892,0.02621711630875843,0.18888081534947487
46,training_pseudotest,individual_quadratic,0.28441457381081,0.02621711630875843,0.3297922344828828
46,training_pseudotest,local_linear,0.41139446089916315,0.02621711630875843,0.4770314569184685
47,training_pseudotest,template_individual,0.14054375655551618,0.1725546095242944,0.0274428666642953
47,training_pseudotest,supervised_ridge,0.16210643367809766,0.1725546095242944,0.1834389704371599
47,training_pseudotest,individual_quadratic,0.28403803415307183,0.1725546095242944,0.32141626564618037
47,training_pseudotest,local_linear,0.4133117756133144,0.1725546095242944,0.4677018972523644
48,training_pseudotest,template_individual,0.14131906106322475,1.0,0.14131906106322475
48,training_pseudotest,supervised_ridge,0.16344464863872465,1.0,0.16344464863872465
48,training_pseudotest,individual_quadratic,0.2834465213122339,1.0,0.2834465213122339
48,training_pseudotest,local_linear,0.4117897689858167,1.0,0.4117897689858167
49,training_pseudotest,template_individual,0.14020061510411055,0.04312836792748593,0.006983486268641017
49,training_pseudotest,supervised_ridge,0.16195265726644992,0.04312836792748593,0.18704556659776295
49,training_pseudotest,individual_quadratic,0.28265642767117577,0.04312836792748593,0.3264511528160467
49,training_pseudotest,local_linear,0.41519029995826384,0.04312836792748593,0.47951979431754926
2,test_forecast,template_individual,0.14148616288809882,0.3735450433341756,0.057991515930575575
2,test_forecast,supervised_ridge,0.16305388430527187,0.3735450433341756,0.17891166774056322
2,test_forecast,individual_quadratic,0.2840145046387438,0.3735450433341756,0.3116362968225509
2,test_forecast,local_linear,0.4114454481678854,0.3735450433341756,0.4514605195063103
5,test_forecast,template_individual,0.14148616288809882,0.25983488800440585,0.04106332038184584
