C1,Q1,C2,phase1_ideal_minutes,phase2_ideal_minutes,T_ideal_physical,T_ideal_as_written_minus,nearest_observed_distance_normalized,nearest_observed_index,inside_rectangle,inside_convex_hull,inside_trust_region,inside_main_domain,exposure_p,E1,E2,stress_sum_benchmark,predicted_R100_raw,predicted_A_raw,predicted_d1,predicted_d2,predicted_R100,predicted_R200,predicted_A,predicted_a_ref,predicted_SOH200,predicted_eol_a1,projection_applied,predicted_charge_time,charge_time_model,eol_median,pareto_rank,p
5.2,58.0,4.55,6.692307692307692,2.901098901098901,9.593406593406593,3.7912087912087906,0.301438246295025,3,True,True,True,True,1.0,3.77,1.25125,5.02125,0.003945604515260867,0.0018394086852859335,0.0021061958299749333,0.0009197043426429668,0.003945604515260867,0.0057850132005468,0.0018394086852859335,1.0,0.9921087909694782,1364.5913856511083,False,9.817210070512763,physical_offset,1364.5913856511083,1,1.0
5.15,59.0,4.6,6.87378640776699,2.739130434782609,9.612916842549598,4.1346559729843815,0.3356699311766835,3,True,True,True,True,1.0,3.7981250000000006,1.2074999999999998,5.005625,0.0038932484850269953,0.0018385278942866018,0.0020547205907403936,0.0009192639471433009,0.0038932484850269953,0.005731776379313597,0.0018385278942866018,1.0,0.9922135030299459,1367.4785521042909,False,9.836720319655768,physical_offset,1367.4785521042909,2,1.0
5.15,60.0,4.55,6.990291262135922,2.6373626373626373,9.62765389949856,4.352928624773284,0.31575705760628076,3,True,True,True,True,1.0,3.8625000000000003,1.1375,5.0,0.0037960794161887683,0.001836835563857121,0.0019592438523316474,0.0009184177819285605,0.0037960794161887683,0.005632914980045889,0.001836835563857121,1.0,0.9924078411676225,1372.8748334408365,False,9.85145737660473,physical_offset,1372.8748334408365,3,1.0
5.1,61.0,4.65,7.176470588235295,2.4516129032258065,9.628083491461101,4.724857685009489,0.3580228565826378,1,True,True,True,True,1.0,3.8887499999999995,1.1043750000000003,4.993125,0.0037530113811510783,0.001836096282477924,0.0019169150986731542,0.000918048141238962,0.0037530113811510783,0.005589107663629002,0.001836096282477924,1.0,0.9924939772376978,1375.2721836266971,False,9.851886968567271,physical_offset,1375.2721836266971,4,1.0
5.1,63.0,4.6,7.411764705882353,2.2173913043478266,9.62915601023018,5.194373401534527,0.3267919738438435,2,True,True,True,True,1.0,4.016249999999999,0.9775,4.9937499999999995,0.0035694092997919993,0.0018328708509977518,0.0017365384487942476,0.0009164354254988759,0.0035694092997919993,0.005402280150789751,0.0018328708509977518,1.0,0.992861181400416,1385.5751010908705,False,9.85295948733635,physical_offset,1385.5751010908705,5,1.0
5.1,63.0,4.55,7.411764705882353,2.2417582417582422,9.653522947640596,5.170006464124111,0.301438246295025,2,True,True,True,True,1.0,4.016249999999999,0.966875,4.983124999999999,0.003561418022705241,0.0018327567347483152,0.001728661287956926,0.0009163783673741576,0.003561418022705241,0.005394174757453556,0.0018327567347483152,1.0,0.9928771639545896,1386.0178274205166,False,9.877326424746766,physical_offset,1386.0178274205166,6,1.0
5.05,65.0,4.65,7.722772277227723,1.9354838709677418,9.658256148195465,5.787288406259981,0.28985051768693937,1,True,True,True,True,1.0,4.1031249999999995,0.8718750000000001,4.975,0.003429885331643924,0.0018304671750482503,0.0015994181565956735,0.0009152335875241252,0.003429885331643924,0.005260352506692174,0.0018304671750482503,1.0,0.9931402293367121,1393.4564057884518,False,9.882059625301634,physical_offset,1393.4564057884518,7,1.0
5.05,66.0,4.6,7.841584158415842,1.8260869565217392,9.667671114937582,6.015497201894103,0.2847233115900808,1,True,True,True,True,1.0,4.16625,0.8050000000000002,4.9712499999999995,0.0033359311171590644,0.0018288266704686773,0.0015071044466903871,0.0009144133352343386,0.0033359311171590644,0.0051647577876277415,0.0018288266704686773,1.0,0.9933281377656819,1398.8026597710011,False,9.891474592043751,physical_offset,1398.8026597710011,8,1.0
5.05,66.0,4.55,7.841584158415842,1.8461538461538463,9.687738004569688,5.9954303122619965,0.29112931763577277,2,True,True,True,True,1.0,4.16625,0.7962500000000001,4.9625,0.0033293500654405575,0.001828732692380906,0.0015006173730596514,0.000914366346190453,0.0033293500654405575,0.005158082757821463,0.001828732692380906,1.0,0.9933412998691188,1399.1716383672294,False,9.911541481675858,physical_offset,1399.1716383672294,9,1.0
5.0,69.0,4.65,8.28,1.4193548387096773,9.699354838709677,6.860645161290322,0.22322894004911492,1,True,True,True,True,1.0,4.3125,0.6393749999999998,4.951874999999999,0.00311021719709523,0.0018249111166071057,0.0012853060804881244,0.0009124555583035529,0.00311021719709523,0.004935128313702335,0.0018249111166071057,1.0,0.9937795656058096,1411.7456581793233,False,9.923158315815847,physical_offset,1411.7456581793233,10,1.0
