battery_id,strategy,selected_model,eol_point,eol_bootstrap_median,eol_ci95_low,eol_ci95_high,eol_ci95_width_ratio,bootstrap_valid_fraction,bootstrap_valid_n,candidate_model_eol_min,candidate_model_eol_max,candidate_model_disagreement_ratio,reliability,reliability_note,parameters_json
28,5_6C_36PER_4_3C_NEWSTRUCTURE,quadratic,1872.162756,1854.937883,1597.024576,2332.666028,0.3965854913,1,300,1218.541478,3065.805329,0.9867004592,high_model_sensitivity,candidate-model EOL range exceeds 75% of its median,"[1.000291381002149, 0.002453784047197501, 0.0004403790048400163]"
29,5C_67PER_4C_NEWSTRUCTURE,quadratic,1289.233402,1303.109488,1260.89135,1383.425774,0.0940323316,1,300,585.2896957,1317.629337,0.5680427144,moderate_model_sensitivity,candidate-model EOL range is 35%-75% of its median,"[0.999804738875296, 1.2751120621691523e-07, 0.0012020958935843138]"
30,3_7C_31PER_5_9C_NEWSTRUCTURE,quadratic,1338.80245,1328.194871,1143.632206,1347.91608,0.1538056493,1,300,1159.486888,1338.802581,0.134132659,conditionally_stable,stable conditional on the selected model and 5000-cycle horizon,"[1.0013685898481446, 0.015040946850124652, 1.3889813791154803e-10]"
31,5C_67PER_4C_NEWSTRUCTURE,quadratic,1366.523535,1392.682663,1301.43911,1587.268601,0.2052366257,1,300,439.058859,1366.523535,1.197209602,high_model_sensitivity,candidate-model EOL range exceeds 75% of its median,"[0.9999132954589426, 3.0025663494531877e-12, 0.001070551209766872]"
32,5_3C_54PER_4C_NEWSTRUCTURE,quadratic,1426.127053,1453.328855,1368.766389,1704.669777,0.2311268965,1,300,487.1541975,1426.127053,0.9847851094,high_model_sensitivity,candidate-model EOL range exceeds 75% of its median,"[0.9998913231283387, 1.5753179807967204e-07, 0.0009828169210752708]"
33,5_6C_19PER_4_6C_NEWSTRUCTURE,quadratic,1333.204184,1346.518387,1308.925248,1477.462331,0.1251650814,1,300,517.1895476,1333.204184,0.7666166238,high_model_sensitivity,candidate-model EOL range exceeds 75% of its median,"[0.9998213901392844, 2.277471916731135e-08, 0.0011242113881648062]"
34,5_6C_36PER_4_3C_NEWSTRUCTURE,quadratic,1192.341307,1202.53444,1165.023927,1293.514246,0.106849596,1,300,539.4325033,1192.341307,0.5914353297,moderate_model_sensitivity,candidate-model EOL range is 35%-75% of its median,"[0.9998361605117256, 6.502241842092987e-11, 0.001405636079699191]"
35,3_7C_31PER_5_9C_NEWSTRUCTURE,quadratic,695.8446053,697.1299785,661.3852199,735.3951277,0.1061637142,1,300,662.2836137,951.5441771,0.3878401309,moderate_model_sensitivity,candidate-model EOL range is 35%-75% of its median,"[1.0018694547100901, 0.017977910831506964, 0.0015855261725875257]"
36,5_3C_54PER_4C_NEWSTRUCTURE,quadratic,1336.872554,1345.814587,1311.421489,1432.906706,0.09026891104,1,300,526.8595737,1336.872554,0.7333222073,moderate_model_sensitivity,candidate-model EOL range is 35%-75% of its median,"[0.999863239935383, 1.3545507357484716e-08, 0.0011182850399445894]"
37,5C_67PER_4C_NEWSTRUCTURE,quadratic,1358.374276,1351.365596,1237.481963,1537.104361,0.2217182379,1,300,718.4308207,1752.294683,0.7611038291,high_model_sensitivity,candidate-model EOL range exceeds 75% of its median,"[0.9999405112563673, 0.0006324688049726769, 0.0010370215799537905]"
38,5_3C_54PER_4C_NEWSTRUCTURE,quadratic,1434.364828,1419.948607,1284.428649,1625.736337,0.2403662259,1,300,847.6795842,2048.505877,0.8371833087,high_model_sensitivity,candidate-model EOL range exceeds 75% of its median,"[1.0001304193742417, 0.0015957247251289313, 0.0008614838788717024]"
39,5_6C_19PER_4_6C_NEWSTRUCTURE,quadratic,1517.306409,1511.758572,1376.482881,1733.105864,0.2358994279,1,300,815.7612774,2163.395868,0.8881756399,high_model_sensitivity,candidate-model EOL range exceeds 75% of its median,"[1.000003428878095, 0.0012048214976729343, 0.0007893367902894145]"
40,5_6C_36PER_4_3C_NEWSTRUCTURE,quadratic,1337.512772,1340.873165,1207.079207,1508.611196,0.2248773388,1,300,785.1295024,1840.025608,0.7886998372,high_model_sensitivity,candidate-model EOL range exceeds 75% of its median,"[0.9999881549945111, 0.0015678341141929883, 0.0010006938859602273]"
41,4_8C_80PER_4_8C_NEWSTRUCTURE,quadratic,1105.402145,1123.156903,1069.127433,1292.701181,0.1990583392,1,300,539.4159525,1105.402145,0.5358344817,moderate_model_sensitivity,candidate-model EOL range is 35%-75% of its median,"[0.9545430951572784, 5.997771059080007e-11, 0.0012647625524169887]"
42,5C_67PER_4C_NEWSTRUCTURE,quadratic,1584.852944,1581.817061,1466.994651,1784.629539,0.2008038067,1,300,726.443642,2012.115976,0.8112250025,high_model_sensitivity,candidate-model EOL range exceeds 75% of its median,"[0.9997556379402708, 0.00028005102696311503, 0.0007776114361425125]"
43,5_3C_54PER_4C_NEWSTRUCTURE,quadratic,1297.886244,1289.716557,1176.265204,1497.861464,0.249354215,1,300,704.8332925,1652.138078,0.7298827537,moderate_model_sensitivity,candidate-model EOL range is 35%-75% of its median,"[0.9997713160723966, 0.0004480813928356446, 0.0011514082949781342]"
44,5_6C_19PER_4_6C_NEWSTRUCTURE,quadratic,1141.83763,1151.372767,1124.235181,1232.147653,0.09372505164,1,300,585.1716552,1248.085241,0.5805672964,moderate_model_sensitivity,candidate-model EOL range is 35%-75% of its median,"[0.9997879150450046, 4.383625407747251e-08, 0.001532355121239037]"
45,5_6C_36PER_4_3C_NEWSTRUCTURE,quadratic,1586.143608,1617.130995,1508.03046,1930.403479,0.2611866445,1,300,451.6298972,1586.143608,1.349433476,high_model_sensitivity,candidate-model EOL range exceeds 75% of its median,"[0.9999561327684247, 9.864322242244294e-12, 0.0007947851018067438]"
46,4_8C_80PER_4_8C_NEWSTRUCTURE,quadratic,1649.167402,1677.978229,1589.169263,1922.061327,0.1983887861,1,300,517.9571596,1649.167402,1.008682536,high_model_sensitivity,candidate-model EOL range exceeds 75% of its median,"[0.9998889683099532, 9.893838857580192e-11, 0.000734952614332762]"
47,5C_67PER_4C_NEWSTRUCTURE,quadratic,1580.404512,1604.702711,1519.740165,1773.494092,0.1581314254,1,300,464.6579525,1580.404512,1.242810854,high_model_sensitivity,candidate-model EOL range exceeds 75% of its median,"[0.9999311805371582, 2.966731038944384e-11, 0.0008004680598065319]"
48,5_3C_54PER_4C_NEWSTRUCTURE,quadratic,1654.587424,1694.301274,1594.892192,1953.775712,0.2118180074,1,300,555.0564975,1654.587424,0.84379085,high_model_sensitivity,candidate-model EOL range exceeds 75% of its median,"[0.999809942281076, 7.173346694476588e-15, 0.0007298567961305374]"
49,4_8C_80PER_4_8C_NEWSTRUCTURE,quadratic,1738.801639,1782.116243,1679.215691,2189.869334,0.2865433976,1,300,530.0122166,1738.801639,0.9690348893,high_model_sensitivity,candidate-model EOL range exceeds 75% of its median,"[0.9996908586764325, 3.3552973549977186e-08, 0.0006604756850044791]"
