battery_id,model,cutoff,fit_success,fit_status,fit_rmse,eol_cycle,parameters_json
1,linear,100,True,no_crossing_within_5000,0.001145656665,,"[1.0052231490143755, 1.7890297745449606e-07]"
1,linear,150,True,no_crossing_within_5000,0.001097762616,,"[1.0057939844190342, 0.0011180331862836457]"
1,linear,200,True,no_crossing_within_5000,0.001367939084,,"[1.0067813255359832, 0.0025210076733713596]"
1,quadratic,100,True,no_crossing_within_5000,0.001146544081,,"[1.0052263254982652, 5.981284336951282e-18, 7.554365556985921e-06]"
1,quadratic,150,True,ok,0.001020893777,1563.699042,"[1.0055680625461023, 1.2770964008245814e-15, 0.0008407159806665778]"
1,quadratic,200,True,ok,0.001000064249,1184.59271,"[1.0060130435292498, 3.726567773559597e-18, 0.0014681032741293404]"
1,power,100,True,no_crossing_within_5000,0.001145626331,,"[1.0052230437781788, 1.000422059081134e-08, 1.0968573428058348]"
1,power,150,True,ok,0.0009704948267,700.4542137,"[1.0054245252275653, 0.0005977409877792068, 2.999999998160834]"
1,power,200,True,ok,0.0008169937222,636.8662411,"[1.0056026493092793, 0.0007959467663740912, 2.99999999795874]"
1,exponential,100,True,no_crossing_within_5000,0.001145624589,,"[1.0052230377792188, 1.0009927244847882e-08, 0.15769720720732516]"
1,exponential,150,True,ok,0.0009573617477,300.8680275,"[1.0053705776440454, 2.4696233503942966e-05, 2.9999999999973768]"
1,exponential,200,True,ok,0.0008007401235,357.3146576,"[1.005544815717282, 9.745208446080435e-05, 2.1422386110414298]"
3,linear,100,True,no_crossing_within_5000,0.0008480124648,,"[0.9976331609833659, 2.2375703825464573e-08]"
3,linear,150,True,no_crossing_within_5000,0.00083768866,,"[0.9981265081260742, 0.0010134201556531856]"
3,linear,200,True,no_crossing_within_5000,0.0008233172746,,"[0.9985142474397599, 0.0015612828024229332]"
3,quadratic,100,True,ok,0.0008589016755,4254.38575,"[0.9976780784622893, 7.238565788517727e-09, 0.00010921545605706488]"
3,quadratic,150,True,ok,0.0007641243797,1655.795979,"[0.9978967126761887, 6.013239057506214e-11, 0.0007218133840893208]"
3,quadratic,200,True,ok,0.0006639198909,1630.96448,"[0.9979037921299934, 3.041181220839491e-22, 0.0007439865941032677]"
3,power,100,True,ok,0.000869828054,866.6324831,"[0.9977298649830666, 0.00030378573749200176, 2.9999999999999996]"
3,power,150,True,ok,0.00072441212,731.1951328,"[0.9977689741659136, 0.0005058925601037956, 2.999999991690743]"
3,power,200,True,ok,0.0006412128126,1218.623779,"[0.9977993917351741, 0.0005968219874237584, 2.321070619808165]"
3,exponential,100,True,no_crossing_within_5000,0.0008480089613,,"[0.9976331473934744, 1.0000006557008747e-08, 0.010000020812609442]"
3,exponential,150,True,ok,0.0007245555736,322.0141945,"[0.9977529474805767, 3.16175234977473e-05, 2.7145456020519494]"
3,exponential,200,True,ok,0.0006716922662,543.6739083,"[0.997920091118637, 0.0003335237317785582, 1.174893305148285]"
4,linear,100,True,ok,0.0002434992702,1499.542853,"[1.0005432641957346, 0.013373626754198523]"
4,linear,150,True,ok,0.0005579093548,1360.73572,"[1.0011759204958168, 0.014784349194755225]"
4,linear,200,True,ok,0.0008857480338,1244.697969,"[1.0021467427596285, 0.016240626068712474]"
4,quadratic,100,True,ok,9.948448957e-05,667.2705617,"[0.9999919185393567, 0.010338960676198107, 0.0029422364250552674]"
4,quadratic,150,True,ok,0.0001407750159,652.6620767,"[0.999941327825582, 0.010110058265653251, 0.003144763897205627]"
4,quadratic,200,True,ok,9.524760204e-05,670.3554071,"[1.0000067676368765, 0.010397532520962332, 0.002899715124367346]"
4,power,100,True,ok,8.155186567e-05,991.2511248,"[0.9997647915574481, 0.012985246610591621, 1.1916163180217618]"
4,power,150,True,ok,0.0001699885041,868.3162926,"[0.9995556024899093, 0.0129541823093215, 1.2652410982239126]"
4,power,200,True,ok,0.0001588848042,821.0534048,"[0.9993955414785612, 0.012734219060665242, 1.3066278300487055]"
4,exponential,100,True,ok,0.0001037147237,510.6086851,"[1.0000253064753473, 0.024563878751142187, 0.4334034915259125]"
4,exponential,150,True,ok,0.0001362535574,515.5875196,"[1.0000159425886288, 0.025056092155467197, 0.4257867819440101]"
4,exponential,200,True,ok,0.0001074804978,561.0304216,"[1.0001624349548373, 0.03154568446350743, 0.35542487558925523]"
6,linear,100,True,no_crossing_within_5000,0.0004665091074,,"[0.9994642147948404, 0.0012585169395270281]"
6,linear,150,True,no_crossing_within_5000,0.0004915868643,,"[0.9999075683631008, 0.002167568519356152]"
6,linear,200,True,no_crossing_within_5000,0.0006043589105,,"[1.0004070935207925, 0.0029065081661170757]"
6,quadratic,100,True,ok,0.0004026922847,1229.650167,"[0.9992643131569202, 1.272066171174927e-21, 0.0013178512118129982]"
6,quadratic,150,True,ok,0.0003290619196,1202.284885,"[0.9992739869010178, 6.262745412741821e-08, 0.0013785870499912968]"
6,quadratic,200,True,ok,0.0002806529043,1191.042185,"[0.999290902077371, 5.715045781901452e-07, 0.0014048124627837617]"
6,power,100,True,ok,0.0003811431822,558.2668048,"[0.999169881918359, 0.0013820470586872974, 2.8904392074997025]"
6,power,150,True,ok,0.0003210971857,1033.330488,"[0.9992196490298321, 0.0012947295497800454, 2.1564469383045237]"
6,power,200,True,ok,0.0002731827194,1101.682084,"[0.9992336429537619, 0.0013207667335846517, 2.0906131285970746]"
6,exponential,100,True,ok,0.0003971801513,262.94406,"[0.9992188179198849, 7.47547276593689e-05, 2.9999999999852434]"
6,exponential,150,True,ok,0.0003495462216,429.9343618,"[0.9993463248764316, 0.00044509024554994624, 1.4203917292759363]"
6,exponential,200,True,ok,0.000316438791,531.8798227,"[0.9994738850870399, 0.0009094261045611386, 1.0143595208091085]"
7,linear,100,True,no_crossing_within_5000,0.0007995932398,,"[0.9990262674501796, 0.00030558092432020475]"
7,linear,150,True,no_crossing_within_5000,0.001066708356,,"[1.0003073879074933, 0.0028115329662729517]"
7,linear,200,True,ok,0.001502556343,4230.294481,"[1.0016883431238965, 0.0047677140213736]"
7,quadratic,100,True,ok,0.000810406784,1538.932218,"[0.9991789582482751, 3.134425838786809e-08, 0.0008410143785992758]"
7,quadratic,150,True,ok,0.0008075521981,1005.710922,"[0.9996126547355764, 9.908219856255811e-12, 0.001973520932147379]"
7,quadratic,200,True,ok,0.0008399529949,899.6140682,"[0.9999842030520363, 2.362697053671679e-09, 0.002471059306981637]"
7,power,100,True,ok,0.0007932058334,568.1087401,"[0.9991756840090881, 0.0010862803363632452, 2.999999982792919]"
7,power,150,True,ok,0.0006765484968,526.671993,"[0.9992377211887548, 0.0013638006562799053, 2.9999999968178415]"
7,power,200,True,ok,0.0006117902009,589.778468,"[0.9992933423025067, 0.0014892446373514893, 2.7592543629058555]"
7,exponential,100,True,ok,0.0008048562434,272.2478437,"[0.9992065827297996, 5.653987507765698e-05, 2.9999999999999973]"
7,exponential,150,True,ok,0.0007014513384,298.7532375,"[0.999286448307367, 0.00012375451517053872, 2.4718792931444264]"
7,exponential,200,True,ok,0.0007214767337,392.5300679,"[0.9996795281383977, 0.0005782837992790995, 1.489642858640086]"
8,linear,100,True,no_crossing_within_5000,0.0008140329996,,"[1.0004334464957356, 0.003505367113052463]"
8,linear,150,True,ok,0.001284246511,2986.767444,"[1.0020572678477426, 0.006765082036507804]"
8,linear,200,True,ok,0.001872122611,2121.699975,"[1.00397947637656, 0.009613964216423878]"
8,quadratic,100,True,ok,0.0005890579211,737.284743,"[0.9998533513595066, 1.1106758672229054e-10, 0.0036765539206342767]"
8,quadratic,150,True,ok,0.0005771060985,665.375089,"[1.000162414887503, 2.5090328009680363e-09, 0.004521155258992163]"
8,quadratic,200,True,ok,0.0005329548391,652.5326072,"[1.000283367892493, 6.516065541681806e-10, 0.004703708935309259]"
8,power,100,True,ok,0.0004770522572,373.829015,"[0.9995476836378233, 0.0038196860749588916, 2.9999999999999996]"
8,power,150,True,ok,0.0004264441225,495.4235224,"[0.9996601491401333, 0.003738816959710472, 2.485777406793981]"
8,power,200,True,ok,0.0004363461589,590.3190259,"[0.9998971276243294, 0.0041469490425233785, 2.1827346765896443]"
8,exponential,100,True,ok,0.0005338339138,228.5250985,"[0.9997369513340852, 0.0002106204110561611, 2.9999999999912066]"
8,exponential,150,True,ok,0.0005469693561,314.7927428,"[1.000099891136517, 0.0009030740957519713, 1.7170886107406638]"
8,exponential,200,True,ok,0.0006700495517,405.7565568,"[1.0007890679375235, 0.0027437841256022534, 1.0613480717457118]"
12,linear,100,True,no_crossing_within_5000,0.0003635991556,,"[1.0000258320377777, 0.002114639710245871]"
12,linear,150,True,no_crossing_within_5000,0.0003309692787,,"[1.0001802131040405, 0.0024338204654942436]"
12,linear,200,True,no_crossing_within_5000,0.0003732899065,,"[1.00040767606058, 0.0027585388032689002]"
12,quadratic,100,True,ok,0.000256067428,988.8052134,"[0.9996320111979086, 1.549686478945446e-09, 0.002041778628426504]"
12,quadratic,150,True,ok,0.0002490274148,1360.576856,"[0.9996954991650295, 0.0008007174367719277, 0.0010199019334947278]"
12,quadratic,200,True,ok,0.0002297046841,1467.929297,"[0.9997229397999289, 0.0009718167578682793, 0.0008606643009454623]"
12,power,100,True,ok,0.0002472105815,731.6915373,"[0.99956964350156, 0.0020531254003218423, 2.2996812922815373]"
12,power,150,True,ok,0.0002385132784,2001.392183,"[0.9996601815942333, 0.0018088566673994913, 1.5698430485917387]"
12,power,200,True,ok,0.0002191827851,1987.980188,"[0.9996313211096716, 0.0017485886641039627, 1.58465952244026]"
12,exponential,100,True,ok,0.000271969925,292.9828426,"[0.9996520679834707, 0.00024384976551471526, 2.28989510763195]"
12,exponential,150,True,ok,0.000265702858,661.6124881,"[0.999824556714026, 0.0019239202624221755, 0.7032299018126367]"
