response,predictor,requested_samples,valid_samples,beta_median,beta_ci95_low,beta_ci95_high,same_sign_fraction
A,C1,1000,762,0.10482460673926876,-0.26071641206999285,0.28091251081666346,0.6929133858267716
A,C2,1000,762,-0.11211486013701671,-0.2982436133795298,0.23876552932618142,0.7165354330708661
A,Q1,1000,762,-0.059090200855443864,-0.27316035831857133,0.24073896006014164,0.6482939632545932
R100,C1,1000,762,-0.2427975870929589,-0.2764941715196536,0.2591813868709087,0.7440944881889764
R100,C2,1000,762,0.2340349538900689,-0.14338821814162597,0.26916704763970994,0.8517060367454068
R100,Q1,1000,762,-0.15483915015714256,-0.2644857157585707,-0.02114968786279358,0.9921259842519685
