model,response,n_batteries,validation,lobo_rmse,normalized_lobo_rmse,lobo_mae
M0_strategy,SOH_slope_50_200_per100,38,leave_one_strategy_out,0.004612428601877881,1.1787683070763484,0.0032435865050914284
M0_strategy,SOH_slope_100_150_per100,38,leave_one_strategy_out,0.004733437454027679,1.1981589159256965,0.003331105175840232
M0_strategy,SOH_slope_150_200_per100,38,leave_one_strategy_out,0.004423578685335401,1.0899112840417424,0.002897623704704464
M0_strategy,SOH_200,38,leave_one_strategy_out,0.00860170984412635,0.8685803951458649,0.005304144602309345
M1_plus_initial_capacity,SOH_slope_50_200_per100,38,leave_one_strategy_out,0.004233779140770619,1.0819993329044646,0.002849167608621219
M1_plus_initial_capacity,SOH_slope_100_150_per100,38,leave_one_strategy_out,0.004330302639278706,1.0961147720444806,0.0029042765268065124
M1_plus_initial_capacity,SOH_slope_150_200_per100,38,leave_one_strategy_out,0.004051232926775711,0.9981702135902017,0.002553021037267648
M1_plus_initial_capacity,SOH_200,38,leave_one_strategy_out,0.011711696744181365,1.1826195454425708,0.007842707760688128
M2_plus_early_health,SOH_slope_50_200_per100,38,leave_one_strategy_out,0.0044160736305991115,1.1285871472019027,0.0024652422643477024
M2_plus_early_health,SOH_slope_100_150_per100,38,leave_one_strategy_out,0.004471277562053617,1.1317992745408578,0.002499550811274322
M2_plus_early_health,SOH_slope_150_200_per100,38,leave_one_strategy_out,0.005159089211638327,1.2711313502308121,0.002911243553156504
M2_plus_early_health,SOH_200,38,leave_one_strategy_out,0.016174842106282283,1.6332974493077161,0.008460850794351485
