response,predictor,standardized_beta,alpha
R100,C1,-0.25213515665747716,10.0
R100,Q1,-0.14038922493761222,10.0
R100,C2,0.23610971851573265,10.0
A,C1,0.16289191224666288,10.0
A,Q1,-0.15261035499946454,10.0
A,C2,-0.18393735742144485,10.0
