response,predictor,requested_samples,valid_samples,beta_median,beta_ci95_low,beta_ci95_high,same_sign_fraction
A,E1,1000,980,-0.022986118773522413,-0.2409324782875145,0.23836100542645894,0.5591836734693878
A,E2,1000,980,0.017385349370442914,-0.23840703236805905,0.24039226015180798,0.5408163265306123
R100,E1,1000,980,-0.1856803254460961,-0.26592949955750167,-0.06806538493949021,0.9948979591836735
R100,E2,1000,980,0.20279344786197517,0.10095847186306414,0.2663314394179796,0.9938775510204082
