model,p,alpha,response,loso_rmse,loso_mae,normalized_loso_rmse
summed_stress_benchmark,1.5,0.0,combined,,,1.4027871620873713
summed_stress_benchmark,1.5,0.03,R100,0.0060375938588161406,0.004139578176440203,1.0262472141861312
summed_stress_benchmark,1.5,0.03,A,0.0004908390200733464,0.00040639829979123083,1.7752533183805583
summed_stress_benchmark,1.5,0.03,combined,,,1.4007502662833446
summed_stress_benchmark,1.5,0.1,R100,0.00603669093209198,0.004109937835071798,1.0260937381397206
summed_stress_benchmark,1.5,0.1,A,0.0004883242702572611,0.00040492394070461036,1.7661580391274232
summed_stress_benchmark,1.5,0.1,combined,,,1.396125888633572
summed_stress_benchmark,1.5,0.3,R100,0.006036500630427253,0.004029565373032403,1.0260613913873806
summed_stress_benchmark,1.5,0.3,A,0.00048153614369033883,0.0004009260829117794,1.7416069261948872
summed_stress_benchmark,1.5,0.3,combined,,,1.3838341587911338
summed_stress_benchmark,1.5,1.0,R100,0.0060554156000908275,0.003822821283094065,1.0292764859064187
summed_stress_benchmark,1.5,1.0,A,0.00046162489721648025,0.0003890324559781072,1.6695924674207487
summed_stress_benchmark,1.5,1.0,combined,,,1.3494344766635837
summed_stress_benchmark,1.5,3.0,R100,0.006169792336566776,0.0036336656850700414,1.0487178080491373
summed_stress_benchmark,1.5,3.0,A,0.0004252714948460297,0.0003665195192822278,1.538110463029732
summed_stress_benchmark,1.5,3.0,combined,,,1.2934141355394346
summed_stress_benchmark,1.5,10.0,R100,0.006492015485945718,0.004310398879233002,1.1034880720200333
summed_stress_benchmark,1.5,10.0,A,0.00037813235246127126,0.00033500140790799674,1.3676188852989088
summed_stress_benchmark,1.5,10.0,combined,,,1.235553478659471
separate_phase_exposure,2.0,0.0,R100,0.006565197550436245,0.005135257697625296,1.1159272806796432
separate_phase_exposure,2.0,0.0,A,0.0006063366864157587,0.000534742013269705,2.1929821603315083
separate_phase_exposure,2.0,0.0,combined,,,1.6544547205055757
separate_phase_exposure,2.0,0.03,R100,0.007058095502280432,0.005388491264925454,1.1997081976784774
separate_phase_exposure,2.0,0.03,A,0.0005017512398414027,0.0004496485332684417,1.8147203402796022
separate_phase_exposure,2.0,0.03,combined,,,1.5072142689790398
separate_phase_exposure,2.0,0.1,R100,0.00726775979458253,0.005432486467573085,1.235346135724798
separate_phase_exposure,2.0,0.1,A,0.0004856025940330813,0.000432015134054377,1.756314354027142
separate_phase_exposure,2.0,0.1,combined,,,1.49583024487597
separate_phase_exposure,2.0,0.3,R100,0.007306212040499012,0.005371070339988445,1.2418821020673116
separate_phase_exposure,2.0,0.3,A,0.00047607409584653676,0.0004218399523812073,1.721851938992741
separate_phase_exposure,2.0,0.3,combined,,,1.4818670205300264
separate_phase_exposure,2.0,1.0,R100,0.007224803728069875,0.0051947259734761615,1.228044627106984
separate_phase_exposure,2.0,1.0,A,0.0004638113176197354,0.00041094326856997554,1.6775002537162915
separate_phase_exposure,2.0,1.0,combined,,,1.4527724404116378
separate_phase_exposure,2.0,3.0,R100,0.007027452110680331,0.00481486767612165,1.1944995506581255
separate_phase_exposure,2.0,3.0,A,0.0004416586579784031,0.00039288776816560986,1.5973791123014267
separate_phase_exposure,2.0,3.0,combined,,,1.3959393314797761
separate_phase_exposure,2.0,10.0,R100,0.006811143706259729,0.004559261434183073,1.1577322717333358
separate_phase_exposure,2.0,10.0,A,0.00040134399991495387,0.0003597975136917059,1.451570145247786
separate_phase_exposure,2.0,10.0,combined,,,1.304651208490561
summed_stress_benchmark,2.0,0.0,R100,0.006037911798339487,0.0041635040894995165,1.0263012563356604
summed_stress_benchmark,2.0,0.0,A,0.00048688927544284475,0.00040362227170126605,1.760967988618051
summed_stress_benchmark,2.0,0.0,combined,,,1.3936346224768557
summed_stress_benchmark,2.0,0.03,R100,0.006037383910191201,0.004150481605413204,1.026211527918306
summed_stress_benchmark,2.0,0.03,A,0.0004858235723514749,0.00040299816695470533,1.7571135824441486
summed_stress_benchmark,2.0,0.03,combined,,,1.3916625551812274
summed_stress_benchmark,2.0,0.1,R100,0.006036498347124732,0.004120691609137326,1.0260610032803124
summed_stress_benchmark,2.0,0.1,A,0.00048338989064659074,0.0004015704763579979,1.7483115081473009
summed_stress_benchmark,2.0,0.1,combined,,,1.3871862557138066
summed_stress_benchmark,2.0,0.3,R100,0.006036353176175528,0.004039913344303006,1.0260363276751483
summed_stress_benchmark,2.0,0.3,A,0.0004768207859816446,0.0003976991643895673,1.7245525477176833
summed_stress_benchmark,2.0,0.3,combined,,,1.3752944376964158
summed_stress_benchmark,2.0,1.0,R100,0.006055384960422783,0.0038033682072995917,1.0292712778923143
summed_stress_benchmark,2.0,1.0,A,0.000457553372840352,0.00038618201128348657,1.6548666879615097
summed_stress_benchmark,2.0,1.0,combined,,,1.3420689829269121
summed_stress_benchmark,2.0,3.0,R100,0.006169908004144393,0.0036231939735651905,1.0487374687835418
summed_stress_benchmark,2.0,3.0,A,0.00042237773516125944,0.00036438168576126244,1.5276443911143072
summed_stress_benchmark,2.0,3.0,combined,,,1.2881909299489245
summed_stress_benchmark,2.0,10.0,R100,0.006492172195623288,0.00431148148374572,1.1035147089343078
summed_stress_benchmark,2.0,10.0,A,0.0003767494505533935,0.0003338612300301485,1.3626172430077397
summed_stress_benchmark,2.0,10.0,combined,,,1.2330659759710239
separate_phase_exposure,2.5,0.0,R100,0.006034150347813039,0.004383629397982112,1.0256618992980169
separate_phase_exposure,2.5,0.0,A,0.0007862008098243353,0.0006384780255871558,2.843509866728958
separate_phase_exposure,2.5,0.0,combined,,,1.9345858830134874
separate_phase_exposure,2.5,0.03,R100,0.006895448446877293,0.005290941895651514,1.17206207052812
separate_phase_exposure,2.5,0.03,A,0.0005421522306393516,0.00047867166594877986,1.960841553236966
separate_phase_exposure,2.5,0.03,combined,,,1.566451811882543
separate_phase_exposure,2.5,0.1,R100,0.0070419905040370575,0.005233725824297898,1.1969707314016425
separate_phase_exposure,2.5,0.1,A,0.0005105355279994817,0.00044843292469753704,1.846491116571818
separate_phase_exposure,2.5,0.1,combined,,,1.5217309239867303
separate_phase_exposure,2.5,0.3,R100,0.007073252759747927,0.005117124141374125,1.2022845705870335
separate_phase_exposure,2.5,0.3,A,0.0004935125697594053,0.0004314142185838793,1.7849229407168636
separate_phase_exposure,2.5,0.3,combined,,,1.4936037556519486
separate_phase_exposure,2.5,1.0,R100,0.007006811144477564,0.00492728253818854,1.190991077819601
separate_phase_exposure,2.5,1.0,A,0.00047689639086797,0.00041687666383214084,1.7248259934297112
separate_phase_exposure,2.5,1.0,combined,,,1.457908535624656
separate_phase_exposure,2.5,3.0,R100,0.006847414893204558,0.00457974482800568,1.163897509976879
separate_phase_exposure,2.5,3.0,A,0.00045136582568849377,0.00039704017387968597,1.632487734445689
separate_phase_exposure,2.5,3.0,combined,,,1.398192622211284
separate_phase_exposure,2.5,10.0,R100,0.006703311742739946,0.004415546325470151,1.1394034051765356
separate_phase_exposure,2.5,10.0,A,0.00040664459950693504,0.0003622650734038098,1.470741210770786
separate_phase_exposure,2.5,10.0,combined,,,1.3050723079736608
summed_stress_benchmark,2.5,0.0,R100,0.006031446295683238,0.0041660448151818194,1.0252022748134766
summed_stress_benchmark,2.5,0.0,A,0.0004830757429785117,0.0004009173048059479,1.7471753073413103
summed_stress_benchmark,2.5,0.0,combined,,,1.3861887910773936
summed_stress_benchmark,2.5,0.03,R100,0.006030961272891171,0.004153007177662015,1.0251198324861497
summed_stress_benchmark,2.5,0.03,A,0.0004820366059625981,0.000400309333062739,1.7434169846320096
summed_stress_benchmark,2.5,0.03,combined,,,1.3842684085590795
summed_stress_benchmark,2.5,0.1,R100,0.006030173913965596,0.004123182516668997,1.0249860002140838
summed_stress_benchmark,2.5,0.1,A,0.00047966361805037007,0.00039891854802925463,1.7348344260061075
summed_stress_benchmark,2.5,0.1,combined,,,1.3799102131100955
summed_stress_benchmark,2.5,0.3,R100,0.006030295904620166,0.004042310255324048,1.025006735721032
summed_stress_benchmark,2.5,0.3,A,0.0004732585195798459,0.0003951473088279465,1.7116686387533884
summed_stress_benchmark,2.5,0.3,combined,,,1.3683376872372102
summed_stress_benchmark,2.5,1.0,R100,0.006050126243091788,0.0038017152778228257,1.028377421144523
summed_stress_benchmark,2.5,1.0,A,0.0004544734992574305,0.00038392787220405486,1.643727484323101
summed_stress_benchmark,2.5,1.0,combined,,,1.3360524527338118
summed_stress_benchmark,2.5,3.0,R100,0.006166141732510835,0.0036150465529319977,1.0480972922724698
summed_stress_benchmark,2.5,3.0,A,0.0004201817754294865,0.0003626910814516886,1.5197021032328804
summed_stress_benchmark,2.5,3.0,combined,,,1.283899697752675
summed_stress_benchmark,2.5,10.0,R100,0.0064903373676515365,0.004311439101778123,1.103202831862323
summed_stress_benchmark,2.5,10.0,A,0.0003756925040865727,0.0003329595743983757,1.3587945075571355
summed_stress_benchmark,2.5,10.0,combined,,,1.2309986697097293
separate_phase_exposure,3.0,0.0,R100,0.006719795715788461,0.005350145597532454,1.1422052881476892
separate_phase_exposure,3.0,0.0,A,0.0008717680684176488,0.0006860352246669269,3.1529872178568454
separate_phase_exposure,3.0,0.0,combined,,,2.147596253002267
separate_phase_exposure,3.0,0.03,R100,0.006774496436852018,0.005206671858156548,1.1515031084247977
separate_phase_exposure,3.0,0.03,A,0.0005918610211383514,0.0005121897901193054,2.1406269649038028
separate_phase_exposure,3.0,0.03,combined,,,1.6460650366643002
separate_phase_exposure,3.0,0.1,R100,0.006806447030028868,0.005020169006847383,1.1569339485916066
separate_phase_exposure,3.0,0.1,A,0.0005426518017325534,0.0004689035558782093,1.962648388481729
separate_phase_exposure,3.0,0.1,combined,,,1.5597911685366679
separate_phase_exposure,3.0,0.3,R100,0.006823678649141292,0.004835627907649169,1.1598629135938183
separate_phase_exposure,3.0,0.3,A,0.0005155891365495815,0.0004436380683372193,1.8647688715616728
separate_phase_exposure,3.0,0.3,combined,,,1.5123158925777456
separate_phase_exposure,3.0,1.0,R100,0.006778569482802335,0.0046249248722808655,1.152195429266098
separate_phase_exposure,3.0,1.0,A,0.0004925876069846995,0.00042416031317507873,1.7815775603212105
separate_phase_exposure,3.0,1.0,combined,,,1.4668864947936542
separate_phase_exposure,3.0,3.0,R100,0.006664361538351069,0.004311928916913621,1.1327827977490093
separate_phase_exposure,3.0,3.0,A,0.0004625649131096184,0.00040192176948483427,1.672992291528813
separate_phase_exposure,3.0,3.0,combined,,,1.402887544638911
separate_phase_exposure,3.0,10.0,R100,0.006598856710750269,0.004292796759771903,1.1216485365825508
separate_phase_exposure,3.0,10.0,A,0.00041252104261192,0.00036508271830746567,1.491994971567636
separate_phase_exposure,3.0,10.0,combined,,,1.3068217540750933
summed_stress_benchmark,3.0,0.0,R100,0.006020559384563712,0.004162296611231401,1.0233517591165335
summed_stress_benchmark,3.0,0.0,A,0.0004800261304418368,0.00039865847879555407,1.7361455510381174
summed_stress_benchmark,3.0,0.0,combined,,,1.3797486550773255
summed_stress_benchmark,3.0,0.03,R100,0.006020144278193306,0.004149281328804739,1.023281200916333
summed_stress_benchmark,3.0,0.03,A,0.0004790080169670839,0.0003980639791756676,1.7324632657049892
summed_stress_benchmark,3.0,0.03,combined,,,1.377872233310661
summed_stress_benchmark,3.0,0.1,R100,0.006019517206826493,0.004119507806913683,1.023174613713163
summed_stress_benchmark,3.0,0.1,A,0.0004766830649538494,0.00039670401272494713,1.7240544420219144
summed_stress_benchmark,3.0,0.1,combined,,,1.3736145278675387
summed_stress_benchmark,3.0,0.3,R100,0.006020076021318198,0.004038774213861388,1.0232695988726106
summed_stress_benchmark,3.0,0.3,A,0.00047040780302280954,0.00039301634089361276,1.7013582440604706
summed_stress_benchmark,3.0,0.3,combined,,,1.3623139214665407
summed_stress_benchmark,3.0,1.0,R100,0.0060412185907794316,0.003798591774530808,1.0268633323230056
summed_stress_benchmark,3.0,1.0,A,0.00045200499417704596,0.0003820455171953934,1.634799461781745
summed_stress_benchmark,3.0,1.0,combined,,,1.3308313970523753
summed_stress_benchmark,3.0,3.0,R100,0.006159712490216097,0.003605751208706407,1.0470044741484636
summed_stress_benchmark,3.0,3.0,A,0.0004184152185703227,0.00036127931519519253,1.5133128680700567
summed_stress_benchmark,3.0,3.0,combined,,,1.2801586711092603
summed_stress_benchmark,3.0,10.0,R100,0.00648716883296222,0.004310624206942712,1.1026642564009719
summed_stress_benchmark,3.0,10.0,A,0.0003748355777511433,0.00033220663239491116,1.3556951995185216
summed_stress_benchmark,3.0,10.0,combined,,,1.2291797279597467
