scope,response,iteration,predictor,standardized_beta
all_unadjusted,SOH_200,38,C1,0.6895931165946502
all_unadjusted,SOH_200,38,Q1,0.536484821647351
all_unadjusted,SOH_200,38,C2,-0.5943436350556517
all_unadjusted,SOH_200,39,C1,-0.09698813977992382
all_unadjusted,SOH_200,39,Q1,-0.17410679355610836
all_unadjusted,SOH_200,39,C2,-0.2940787378334261
all_unadjusted,SOH_200,40,C1,0.38150015780079266
all_unadjusted,SOH_200,40,Q1,0.19941538120300806
all_unadjusted,SOH_200,40,C2,-0.7731051130026994
all_unadjusted,SOH_200,41,C1,0.42875636061365074
all_unadjusted,SOH_200,41,Q1,-0.059768188473652395
all_unadjusted,SOH_200,41,C2,-0.6211658854780628
all_unadjusted,SOH_200,42,C1,2.8606597760524712
all_unadjusted,SOH_200,42,Q1,3.030885398483027
all_unadjusted,SOH_200,42,C2,-0.3675120082603493
all_unadjusted,SOH_200,43,C1,1.718809437059015
all_unadjusted,SOH_200,43,Q1,0.9210336337292468
all_unadjusted,SOH_200,43,C2,1.036240873034468
all_unadjusted,SOH_200,44,C1,0.982767745464166
all_unadjusted,SOH_200,44,Q1,0.6161346546502353
all_unadjusted,SOH_200,44,C2,0.07185450513961561
all_unadjusted,SOH_200,45,C1,0.5281243527211728
all_unadjusted,SOH_200,45,Q1,0.519885171272221
all_unadjusted,SOH_200,45,C2,-0.47398722455883935
all_unadjusted,SOH_200,46,C1,0.15021320530173804
all_unadjusted,SOH_200,46,Q1,-0.12967568753729436
all_unadjusted,SOH_200,46,C2,-1.039384168387525
all_unadjusted,SOH_200,47,C1,-0.21747137627950874
all_unadjusted,SOH_200,47,Q1,-0.7924420479980936
all_unadjusted,SOH_200,47,C2,-1.0495120671534464
all_unadjusted,SOH_200,48,C1,0.6587815815332458
all_unadjusted,SOH_200,48,Q1,0.30206079348048015
all_unadjusted,SOH_200,48,C2,-0.8077083947905872
all_unadjusted,SOH_200,49,C1,0.37497150918514466
all_unadjusted,SOH_200,49,Q1,0.19867584595891366
all_unadjusted,SOH_200,49,C2,-0.6981757944251102
all_unadjusted,SOH_200,50,C1,0.06704795605483085
all_unadjusted,SOH_200,50,Q1,-0.8238245975446072
all_unadjusted,SOH_200,50,C2,-1.1223739890321076
all_unadjusted,SOH_200,51,C1,0.9440059805201563
all_unadjusted,SOH_200,51,Q1,0.4403851931619377
all_unadjusted,SOH_200,51,C2,0.07981390277823455
all_unadjusted,SOH_200,52,C1,0.33934303686257317
all_unadjusted,SOH_200,52,Q1,0.04608831175131978
all_unadjusted,SOH_200,52,C2,-0.8366563137453222
all_unadjusted,SOH_200,53,C1,-0.3754598370341896
all_unadjusted,SOH_200,53,Q1,-0.4341767885677863
all_unadjusted,SOH_200,53,C2,-0.37475585505423253
