scope,response,n_strategies,n_predictors,residual_df,coefficient,standardized_beta,standard_error,p_value_descriptive_only,ci95_low_descriptive_only,ci95_high_descriptive_only,r_squared,adjusted_r_squared,condition_number
all_unadjusted,SOH_150,8,3,4.0,const,-3.7192471324942744e-15,0.16293022063135437,0.9999999999999829,-0.4523668135607241,0.4523668135607167,0.8938149728200727,0.8141762024351272,1.9781674914211675
all_unadjusted,SOH_150,8,3,4.0,C1,0.41081658961451173,0.1906104490484569,0.09740438020844495,-0.11840285864562983,0.9400360378746533,0.8938149728200727,0.8141762024351272,1.9781674914211675
all_unadjusted,SOH_150,8,3,4.0,Q1,0.2940533840908019,0.20051855781145025,0.21640935245999118,-0.26267538424611997,0.8507821524277237,0.8938149728200727,0.8141762024351272,1.9781674914211675
all_unadjusted,SOH_150,8,3,4.0,C2,-0.6669783873538684,0.19373983237876635,0.026230088024896046,-1.2048863966437353,-0.12907037806400157,0.8938149728200727,0.8141762024351272,1.9781674914211675
all_unadjusted,SOH_200,8,3,4.0,const,-2.858824288409778e-15,0.17954419425975807,0.999999999999988,-0.49849459931918993,0.49849459931918416,0.871055529230457,0.7743471761532998,1.9781674914211675
all_unadjusted,SOH_200,8,3,4.0,C1,0.42323361608819704,0.2100469720060636,0.1141531486765434,-0.15995027119965616,1.0064175033760503,0.871055529230457,0.7743471761532998,1.9781674914211675
all_unadjusted,SOH_200,8,3,4.0,Q1,0.243099249912356,0.2209654093444302,0.33301826750126207,-0.37039907928001403,0.856597579104726,0.871055529230457,0.7743471761532998,1.9781674914211675
all_unadjusted,SOH_200,8,3,4.0,C2,-0.6693402043822615,0.21349545815180818,0.035010968835877954,-1.2620986241498096,-0.07658178461471332,0.871055529230457,0.7743471761532998,1.9781674914211675
all_unadjusted,SOH_slope_50_200_per100,8,3,4.0,const,1.3877787807814457e-17,0.19801832591085114,1.0,-0.5497870117146441,0.5497870117146441,0.8431549704138557,0.7255211982242474,1.9781674914211675
all_unadjusted,SOH_slope_50_200_per100,8,3,4.0,C1,0.43313223252806937,0.23165967538392612,0.13487916015458976,-0.2100581392633421,1.076322604319481,0.8431549704138557,0.7255211982242474,1.9781674914211675
