scope,n_strategies,predictor,VIF,condition_number,max_abs_parameter_correlation
all_parameterized_strategies,8,C1,1.368642802149131,1.9781674914211675,0.38058285452170815
all_parameterized_strategies,8,Q1,1.5146275551129533,1.9781674914211675,0.38058285452170815
all_parameterized_strategies,8,C2,1.413951614347675,1.9781674914211675,0.38058285452170815
dataset3_only,6,C1,5.509676273228443,4.751916091881558,0.8228346456692917
dataset3_only,6,Q1,1.9931656853902173,4.751916091881558,0.8228346456692917
dataset3_only,6,C2,6.126424350989265,4.751916091881558,0.8228346456692917
