response,n_strategies,best_alpha,predictor,standardized_beta,loo_rmse,loo_mae
SOH_150,8,4.968239594734388,C1,0.26407656963805887,0.008031317014191635,0.005326939673045955
SOH_150,8,4.968239594734388,Q1,0.2004054537211239,0.008031317014191635,0.005326939673045955
SOH_150,8,4.968239594734388,C2,-0.45440316334310865,0.008031317014191635,0.005326939673045955
SOH_200,8,3.3035991201283395,C1,0.31331548367855055,0.010191463747467771,0.0072171927575766515
SOH_200,8,3.3035991201283395,Q1,0.18944047363980104,0.010191463747467771,0.0072171927575766515
SOH_200,8,3.3035991201283395,C2,-0.5061867976625309,0.010191463747467771,0.0072171927575766515
SOH_slope_50_200_per100,8,2.6938893095901695,C1,0.34014632857401966,0.005415362774161594,0.003932211519697314
SOH_slope_50_200_per100,8,2.6938893095901695,Q1,0.1644235197448599,0.005415362774161594,0.003932211519697314
SOH_slope_50_200_per100,8,2.6938893095901695,C2,-0.522717741322881,0.005415362774161594,0.003932211519697314
SOH_curvature_per100sq,8,239.74349678010785,C1,0.004654170184174293,0.0030600022923572986,0.0023544803645317173
SOH_curvature_per100sq,8,239.74349678010785,Q1,-0.01845243717478546,0.0030600022923572986,0.0023544803645317173
SOH_curvature_per100sq,8,239.74349678010785,C2,0.0049004095652040065,0.0030600022923572986,0.0023544803645317173
eol_point,8,70.48574036451903,C1,0.02747197010852846,296.28934733533293,229.66646648484033
eol_point,8,70.48574036451903,Q1,0.0016015349524480986,296.28934733533293,229.66646648484033
eol_point,8,70.48574036451903,C2,-0.04908772239217907,296.28934733533293,229.66646648484033
