model,n_batteries,MAE_mean,RMSE_mean,RMSE_median,RMSE_p90,worst_battery_RMSE,cycle200_MAE,trend_match_rate,interval_coverage_95,strategy_median_RMSE_sd
adaptive_ensemble,40,0.0002766053781378221,0.0003613168770037458,0.0001961484254867322,0.0009012456928233976,0.002912164474890749,0.0005222409030774117,1.0,0.9279999999999999,0.0005155340368744167
individual_quadratic,40,0.0004258190143811254,0.0005139258875932585,0.00036426320866188137,0.0008687691439488824,0.003075014432549502,0.0007443154734913693,1.0,0.9279999999999999,0.0004832938218269148
policy_informed_quadratic,40,0.0005046384726498812,0.000596795289142928,0.00043689418842208626,0.0009140004312453411,0.0034519458634230415,0.0008682919044503496,1.0,0.9285,0.0005916506744060553
