ablation,n_predictors,pointwise_RMSE,battery_RMSE_mean,battery_RMSE_p90,worst_battery_RMSE,relative_improvement_vs_SOH_only,stable_improvement
SOH_only,9,0.0005370225045212149,0.00036932456554924765,0.0008133641069619308,0.0023064798514761094,0.0,False
SOH_plus_IR,11,0.000554824090696651,0.000390530387850311,0.0008780520649716899,0.0023440720999926153,-0.033148678175614274,False
SOH_plus_T,11,0.0005491522011519859,0.00038252400486075576,0.0007601906191569271,0.0022965314675913837,-0.02258694287232024,False
SOH_plus_charge,11,0.0005631500310484607,0.00037771981620911396,0.0007900240190294752,0.0024979647290248176,-0.048652572857332856,False
all_health,15,0.0005672498337538466,0.0003761947115067787,0.0005710949227801614,0.0026166188066002126,-0.05628689482870184,False
all_plus_policy_prior,17,0.0005761668217496726,0.0003813707339854011,0.0005827391230385822,0.0025981828487566536,-0.07289139076835703,False
