battery_id,strategy,strategy_code,penalty,prior_source,prior_peer_n,prior_d1,prior_d2,fitted_a,fitted_d1,fitted_d2,early_fit_rmse,future_MAE,future_RMSE,future_MaxAE,cycle200_error,selected
1,3_6C-80PER_3_6C,S1,0.0,same_strategy_peer_distribution,1,3.041181220839491e-22,0.0007439865941032677,1.0051074734436045,2.908056841006738e-26,0.0005002872634732575,0.0008566186592908441,0.002465279207900317,0.0034519458634230415,0.009699534699999957,0.004452560089711621,True
1,3_6C-80PER_3_6C,S1,0.01,same_strategy_peer_distribution,1,3.041181220839491e-22,0.0007439865941032677,1.0051228972921356,3.208455073714899e-26,0.0005205097293353832,0.0008568341876154269,0.002445649370062748,0.0034330085089182127,0.009699534699999957,0.004387094074794096,False
1,3_6C-80PER_3_6C,S1,0.03,same_strategy_peer_distribution,1,3.041181220839491e-22,0.0007439865941032677,1.00514711335014,1.5401903076829556e-21,0.0005522560199715966,0.0008576108292519574,0.002409200456038043,0.0034014042248267616,0.009699534699999957,0.00428432497025355,False
1,3_6C-80PER_3_6C,S1,0.1,same_strategy_peer_distribution,1,3.041181220839491e-22,0.0007439865941032677,1.0051956518410219,4.093382058956758e-21,0.0006158748809568248,0.0008607724424959378,0.002318892051644217,0.003318702811493277,0.009620983718091614,0.004078388017194623,False
1,3_6C-80PER_3_6C,S1,0.3,same_strategy_peer_distribution,1,3.041181220839491e-22,0.0007439865941032677,1.0052432774011844,1.5619445923376034e-27,0.0006782814397169518,0.0008659343428617493,0.0022125424959217855,0.00322597725455526,0.00947748919205127,0.003876387342316656,False
1,3_6C-80PER_3_6C,S1,1.0,same_strategy_peer_distribution,1,3.041181220839491e-22,0.0007439865941032677,1.0052749133283656,2.841211222823349e-17,0.0007197279472681748,0.0008704729523857357,0.002134250980130856,0.0031584579912410497,0.009382195189856724,0.0037422372392930114,False
1,3_6C-80PER_3_6C,S1,3.0,same_strategy_peer_distribution,1,3.041181220839491e-22,0.0007439865941032677,1.0052868259035672,9.48589483443706e-18,0.0007353332422122115,0.0008724082348008796,0.0021042897424424865,0.003132469878353097,0.00934631654929241,0.0036917286347184497,False
1,3_6C-80PER_3_6C,S1,10.0,same_strategy_peer_distribution,1,3.041181220839491e-22,0.0007439865941032677,1.0052914002585203,8.589469896485282e-25,0.0007413254357720605,0.0008731839819153694,0.0020928781439631104,0.003122476214899799,0.00933253981146831,0.003672334215432116,False
3,3_6C-80PER_3_6C,S1,0.0,same_strategy_peer_distribution,1,3.726567773559597e-18,0.0014681032741293404,0.9975134097939087,1.050385060882132e-18,0.0004425295454772779,0.0007168868606257557,0.0004483372046338352,0.0004949143403742253,0.000819875997231323,0.0005109800119995622,True
3,3_6C-80PER_3_6C,S1,0.01,same_strategy_peer_distribution,1,3.726567773559597e-18,0.0014681032741293404,0.9975686506793268,1.1703795826569916e-20,0.0005150182355194002,0.000718861374550613,0.0003412844738112053,0.0003736617056177691,0.0005994786387641948,0.0002762661372491815,False
3,3_6C-80PER_3_6C,S1,0.03,same_strategy_peer_distribution,1,3.726567773559597e-18,0.0014681032741293404,0.9976553465482466,1.6480919140387398e-22,0.0006287450862204519,0.0007286007157861923,0.00015194496893786714,0.00017149491161106326,0.0003403917168980364,-9.194539663526236e-05,False
3,3_6C-80PER_3_6C,S1,0.1,same_strategy_peer_distribution,1,3.726567773559597e-18,0.0014681032741293404,0.9978398335600742,4.812217139787344e-19,0.0008706455577506243,0.0007746241966676779,0.0004342393076767981,0.0004794372384068017,0.0008750602709283184,-0.0008750602709283184,False
3,3_6C-80PER_3_6C,S1,0.3,same_strategy_peer_distribution,1,3.726567773559597e-18,0.0014681032741293404,0.998048973652739,4.084089273351735e-24,0.0011448060551473816,0.0008619278792634175,0.0010752297933647249,0.0011240156113858592,0.0017625621678505343,-0.0017625621678505343,False
3,3_6C-80PER_3_6C,S1,1.0,same_strategy_peer_distribution,1,3.726567773559597e-18,0.0014681032741293404,0.9982038572951255,1.0550680856059252e-21,0.0013478847158445984,0.0009449403388566346,0.001550062616001211,0.0016074110412855004,0.0024199931682529208,-0.0024199931682529208,False
3,3_6C-80PER_3_6C,S1,3.0,same_strategy_peer_distribution,1,3.726567773559597e-18,0.0014681032741293404,0.9982630681356998,5.536225832841061e-27,0.0014255447368099938,0.0009799005801016398,0.0017316638514375082,0.0017926385989881616,0.0026714224115402807,-0.0026714224115402807,False
